,tag,제 20 기,제 19 기,제 18 기
0,자산,,,
1,유동자산,668408387497,640910847121,684808071809
2,현금및현금성자산,62358097717,15293774047,29005216684
5,기타금융자산,17072209385,2623490520,1066837126
6,재고자산,23179093275,28910225486,21863243995
7,기타유동자산,971044887,3029750892,4933120584
8,비유동자산,287935778336,253779166498,233458384005
9,기타금융자산,36145906465,49251195964,59180935434
11,유형자산,76924272755,69755177823,60627757171
12,무형자산,169803175681,133597135959,112474504243
13,기타비유동자산,3847420560,,
14,자산총계,956344165833,894690013619,918266455814
15,부채,,,
16,유동부채,43773775467,37568295728,23045053483
19,기타금융부채,9970564328,12050125280,6158412649
20,기타유동부채,14010829001,3805143987,3301070227
21,당기법인세부채,15007734402,15818697355,7525931091
22,비유동부채,118501715920,112850779089,110438229453
24,기타금융부채,22348160890,20093617542,14634521909
25,순확정급여부채,1770825551,1707468041,681216141
26,이연법인세부채,4317944023,4628013952,12196554710
27,부채총계,162275491387,150419074817,133483282936
37,부채와 자본 총계,956344165833,894690013619,918266455814
