,tag,제 36 기,제 35 기,제 34 기
0,자산,,,
1,유동자산,11099470,10248315,8800127
2,현금및현금성자산,4218099,3336003,2365022
6,기타금융자산,52403,70945,46301
7,재고자산,2170656,2051155,2691203
8,당기법인세자산,114202,114143,4516
9,매각예정비유동자산,0,0,70161
10,기타유동자산,803466,969184,546048
11,비유동자산,23972053,25326248,24375583
15,기타비유동금융자산,68231,111510,144214
16,유형자산,20147051,22087645,21600130
17,무형자산,1020088,873448,987642
18,이연법인세자산,2273677,1727122,1136166
19,종업원급여자산,224997,127252,0
20,기타비유동자산,123447,280577,381983
21,자산총계,35071523,35574563,33175710
22,부채,,,
23,유동부채,11006948,10984976,9954483
25,금융부채,3195024,1977084,1553907
29,충당부채,197468,189525,98254
31,기타유동부채,42520,82019,74976
32,비유동부채,11327636,12101306,8334981
33,비유동금융부채,11124846,11612910,7030628
34,비유동충당부채,89633,67118,32764
35,순확정급여부채,1498,1338,45360
37,이연법인세부채,9530,11210,15087
38,기타비유동부채,102129,88148,96826
39,부채총계,22334584,23086282,18289464
48,자본과부채총계,35071523,35574563,33175710
