,tag,제 25 기,제 24 기,제 24 기초
0,자산,,,
1,유동자산,63848035698,64132498756,59631081375
2,현금및현금성자산,17323056183,11950898632,13164830847
6,기타유동금융자산,431413443,505249292,718129726
8,재고자산,5072524681,7426026095,7334541741
9,기타유동자산,1504720468,2031286930,1346074680
10,매각예정으로 분류된 처분집단의 자산,6046866952,4844457960,589873989
11,비유동자산,81083534643,87693621647,86533709717
13,기타비유동금융자산,4180621972,5264864096,5874737655
14,관계기업에 대한 투자자산,2270584427,10866044180,11935772758
15,유형자산,4549471755,10407499584,6002233488
16,무형자산,39088416845,42975807150,45951940615
17,기타비유동자산,107177966,186242678,55963022
18,이연법인세자산,4434124366,2557804207,1948785661
19,자산총계,150978437293,156670578363,146754665081
20,부채,,,
21,유동부채,37258228621,29197493442,22585738945
23,단기차입부채,6290443260,1500000000,3360022810
24,단기리스부채,2933533804,3551988851,0
27,당기법인세부채,584757881,650836364,476458588
28,기타유동부채,1770262565,1116060968,1236820261
29,매각예정으로 분류된 처분집단의 부채,5102498744,4610698062,172362878
30,비유동부채,4468425003,11086576549,8491642103
31,장기차입부채,3018752036,5578092224,7310107007
32,장기리스부채,472957756,4529082574,0
33,기타비유동금융부채,293028647,247528647,270528647
35,기타비유동부채,80696551,116361769,271482038
36,이연법인세부채,432474344,367664525,415582629
37,부채총계,46829152368,44894768053,31249743926
45,매각예정자산처분집단관련 자본,"(725,305)",42265458,0
48,자본과부채총계,150978437293,156670578363,146754665081
