,tag,제 49 기,제 48 기,제 47 기
0,자산,,,
1,유동자산,69456058283,79441761260,80845225586
2,현금및현금성자산,5385500501,658506023,18162029101
5,기타금융자산,13334000,0,0
6,재고자산,38160160866,29756677741,16733276974
7,당기법인세자산,19618624,1882200,65749020
8,기타유동자산,150042486,518934051,130026345
9,비유동자산,83918018226,84750277997,82790290507
12,관계기업에 대한 투자자산,3814461617,3535520062,0
13,장기기타금융자산,50529221,50529221,50529221
15,유형자산,75744203318,77679359422,78794023854
16,무형자산,756593800,582493800,583473440
17,자산총계,153374076509,164192039257,163635516093
18,부채,,,
19,유동부채,59604101532,75810038838,79399543101
21,단기차입부채,32016452319,43182654908,36637668196
22,기타금융부채,137901530,183722002,1190218
23,기타유동부채,4972957350,5248643542,831579875
24,당기법인세부채,328660469,136239993,0
25,비유동부채,6266264183,8554256773,5173598630
26,장기차입부채,0,2000000000,500000000
27,확정급여부채,4819219484,4994502231,3304721955
28,기타비유동금융부채,56888289,151391356,0
29,기타비유동부채,83248747,101455523,73103527
30,이연법인세부채,1306907663,1306907663,1295773148
31,부채총계,65870365715,84364295611,84573141731
41,자본과부채총계,153374076509,164192039257,163635516093
