,tag,제 11 기,제 10 기,제 10 기초
0,자산,,,
1,유동자산,147236048292,144026243685,131491517766
2,현금및현금성자산,55092242794,31313798166,31628737540
4,기타유동금융자산,3927000548,18586272481,7000000000
13,선물환계약자산,0,0,6151060
14,당기법인세자산,810811169,291767892,425778295
15,재고자산,43348335846,47780409889,46642125947
26,비유동자산,77682946586,76418442358,68586734161
27,유형자산,53814065158,58592441246,58780065095
47,건설중인자산,721362148,331347071,1561013051
48,사용권자산,15990794744,9923443866,0
50,무형자산,1732712452,1828403786,2028407391
57,장기보증금자산,116023274,32075432,24520046
59,기타비유동금융자산,2135900422,49980000,0
61,이연법인세자산,5920048568,6154792392,6611597163
62,자산총계,224918994878,220444686043,200078251927
63,부채,,,
64,유동부채,32536986146,32695327393,27668907139
74,선물환계약부채,0,21087,0
75,유동리스부채,3041062488,4278650478,0
77,당기법인세부채,701813249,334490088,333317304
78,비유동부채,18734910194,12750925352,5969483964
79,순확정급여부채,4660489072,3768828403,2344434647
81,사외적립자산,"(19,544,858,605)","(20,089,491,236)","(20,236,033,184)"
85,비유동리스부채,10324034754,4525791643,0
86,비유동충당부채,1007343663,1054926609,900211695
87,장기종업원부채,1007343663,1054926609,900211695
88,이연법인세부채,2743042705,3345856667,2600161716
89,부채총계,51271896340,45446252745,33638391103
98,기타포괄손익공정가치측정금융자산 평가손실,"(50,630,580)",0,0
105,자본과부채총계,224918994878,220444686043,200078251927
