,tag,제 47 기,제 46 기,제 45 기
0,자산,,,
1,Ⅰ.유동자산,360472771731,341600216152,338939831803
2,(1)현금및현금성자산,33991682888,30000355799,39488382602
4,(3)기타유동금융자산,,12147889310,
11,(10)재고자산,11990275121,11401370014,12864279360
12,Ⅱ.비유동자산,81964814682,99300339652,93474391226
14,(2)기타비유동금융자산,1616904088,12060398918,3375316717
15,(3)유형자산,72174372751,78987739862,85806923681
16,(4)무형자산,278313865,341386073,1168612672
18,(6)이연법인세자산,5967523429,5497326957,2532191725
19,(7)퇴직연금투자자산,,79635932,
20,(8)사용권자산,1476455176,1871495598,
21,자산총계,442437586413,440900555804,432414223029
22,부채,,,
23,Ⅰ.유동부채,23216673872,26754565187,25425725047
28,(5)당기법인세부채,1135437598,3290664992,728014231
30,(7)판매보증충당부채,3014065764,4331897359,3096080769
31,(8)리스부채,349088295,386020312,
32,Ⅱ.비유동부채,4586664020,6196389388,4025447982
34,(2)당기법인세부채,449098083,1940264799,
35,(3)퇴직급여부채,877391221,245951857,86793234
36,(4)판매보증충당부채,2800789331,3193823058,3234115745
38,(6)이연법인세부채,,,575382498
39,(7)리스부채,384056963,733145258,
40,부채총계,27803337892,32950954575,29451173029
50,자본과부채총계,442437586413,440900555804,432414223029
