,tag,제 21 기,제 20 기,제 19 기
0,자산,,,
1,유동자산,212043543708.0,206225288157.0,199012035297.0
2,현금및현금성자산,21225332229.0,828386414.0,11371557994.0
4,기타유동투자자산,5325000.0,83050000.0,0.0
5,재고자산,105275505294.0,138611898429.0,121263133729.0
6,기타유동금융자산,17103074167.0,2394258394.0,2367655650.0
7,기타유동자산,4536444300.0,5657686375.0,5085702145.0
8,당기법인세자산,464760499.0,242962913.0,1281098148.0
9,비유동자산,254173855486.0,209975990567.0,131969575866.0
10,기타비유동투자자산,2361260000.0,2009330000.0,1324395000.0
12,유형자산,237424710863.0,196500851648.0,121751798986.0
13,무형자산,8860744351.0,8505434781.0,6216852805.0
14,기타비유동자산,574817583.0,59826324.0,266804686.0
15,이연법인세자산,4137724491.0,2080827616.0,1554760191.0
16,자산총계,466217399194.0,416201278724.0,330981611163.0
17,부채,,,
18,유동부채,158120232264.0,187498227371.0,140783139546.0
22,당기법인세부채,0.0,0.0,4948395623.0
23,기타유동금융부채,4001152689.0,3833147517.0,2677026495.0
24,기타유동부채,1076609023.0,800699941.0,915621470.0
25,비유동부채,110491321110.0,96882518791.0,47208976999.0
29,기타비유동금융부채,978246016.0,2884481435.0,2659963500.0
30,비유동파생상품부채,11906990000.0,653370000.0,0.0
31,부채총계,268611553374.0,284380746162.0,187992116545.0
40,자본과부채총계,466217399194.0,416201278724.0,330981611163.0
