,tag,제 61 기,제 60 기,제 60 기초
0,자산,,,
1,유동자산,248209344942,186397967479,221637864133.0
2,현금및현금성자산,79290779897,37584814355,100399748183.0
4,기타유동금융자산,10609452457,227202475,291411872.0
5,기타유동자산,895885037,702330204,458629039.0
6,계약자산,2340755279,931951671,0.0
7,재고자산,51374617669,44137168254,34219602513.0
8,당기법인세자산,22488783,11836990,2609880.0
9,비유동자산,152759396613,202136589625,271977511122.0
11,당기손익-공정가치금융자산,17883716323,20420648030,28760006185.0
12,기타포괄손익-공정가치금융자산,2679988802,26043647946,85352364700.0
13,기타비유동금융자산,1753580143,1651158614,2139021219.0
14,계약자산,1512751316,252555341,1216204130.0
15,유형자산,104618506966,126512972913,128545117857.0
16,사용권자산,1679950365,2296293848,0.0
17,무형자산,6999008488,10381484749,8969380029.0
18,순확정급여자산,2002568837,0,0.0
20,이연법인세자산,7267275,0,0.0
21,자산총계,400968741555,388534557104,493615375255.0
22,부채,,,
23,유동부채,61204347999,35883740861,38247165924.0
26,기타유동금융부채,10736348391,13629707592,11562975584.0
27,계약부채,8837726239,4633983980,0.0
28,리스부채,407983844,434298174,0.0
29,기타유동부채,3774633716,3328202076,3559530256.0
30,당기법인세부채,7290972694,3967215090,18784935796.0
31,비유동부채,68573256982,26164814873,41925727294.0
32,계약부채,4622140515,2034882774,4974293553.0
33,기타비유동금융부채,57827883508,2523032201,0.0
34,리스부채,1138932207,1643650271,0.0
35,순확정급여부채,0,1584101136,3993873141.0
36,이연법인세부채,4984300752,18379148491,32957560600.0
37,부채총계,129777604981,62048555734,80172893218.0
46,부채 및 자본총계,400968741555,388534557104,493615375255.0
