,tag,제 35 기,제 34 기,제 34 기초
0,자산,,,
1,유동자산,1545261329286.0,1501510394818.0,1208350010631.0
2,현금및현금성자산,674934464655.0,535426061466.0,475177296349.0
5,유동 당기손익-공정가치 측정 지정 금융자산,,,
6,상각후원가 측정 금융자산,2600000000.0,46600000000.0,30500000000.0
7,당기법인세자산,212035456.0,1016875326.0,108726560.0
8,기타유동자산,69998409743.0,77557541672.0,89604437581.0
9,재고자산,88293376051.0,81845666598.0,99030906971.0
10,매각예정자산,,72254173913.0,0.0
11,비유동자산,1185093923526.0,1063316974562.0,964627793085.0
13,비유동 상각후원가 측정 금융자산,5068000000.0,,
14,장기성 당기손익-공정가치 측정 금융자산,44746503112.0,42868788188.0,36538534924.0
15,장기성 기타포괄손익-공정가치 측정 금융자산,32963730949.0,4292074567.0,4969391758.0
16,기타장기금융자산,3761311106.0,23706387032.0,16034174236.0
18,유형자산,620853713856.0,541260188965.0,433178694098.0
20,무형자산,202741138458.0,206062773834.0,258731985972.0
21,이연법인세자산,47806207360.0,40964874078.0,41050629612.0
22,기타비유동자산,38165719764.0,35870021576.0,51404715096.0
23,자산총계,2730355252812.0,2564827369380.0,2172977803716.0
24,부채,,,
25,유동부채,1232837034947.0,1131668644844.0,917627842305.0
28,유동 당기손익-공정가치 측정 지정 금융부채,4496415.0,100406634.0,1466516011.0
29,유동성금융리스부채,22519078130.0,20048178844.0,3681362476.0
30,당기법인세부채,37352342336.0,25099918669.0,20870372207.0
31,기타유동금융부채,1677555879.0,134331845.0,120502233.0
32,기타유동부채,464565080987.0,407850219096.0,329896635699.0
33,매각예정부채,,95246040587.0,
34,비유동부채,247920564055.0,209537641927.0,215341827443.0
36,비유동금융리스부채,50486598966.0,38608270030.0,8526664947.0
37,비유동 당기손익-공정가치 측정 금융부채,34306401177.0,27808121264.0,35813406468.0
38,기타비유동금융부채,13001860760.0,957125483.0,22900581686.0
39,순확정급여부채,11395468473.0,12413230568.0,11066264952.0
40,이연법인세부채,19774355203.0,19663764480.0,24829231013.0
41,기타비유동부채,2965940776.0,2863492138.0,2382616322.0
42,부채총계,1480757599002.0,1341206286771.0,1132969669748.0
51,자본과부채총계,2730355252812.0,2564827369380.0,2172977803716.0
