,tag,제 34 기,제 33 기,제 32 기
0,자산,,,
1,유동자산,648230665135,619087459916,601574992735
2,현금및현금성자산,34805941892,44448987452,21674845624
5,재고자산,149958776918,154333797356,155182898226
6,당기손익-공정가치측정금융자산,45305603952,24857631210,14988208561
7,기타포괄손익-공정가치측정금융자산,,3068400000,
8,기타금융자산,,400000000,
9,기타유동자산,5902068618,2700694785,2354791560
10,당기법인세자산,3720710311,65148248,
11,비유동자산,681927290509,703048936254,692188896392
13,당기손익-공정가치측정금융자산,16521496080,2142702200,2086624200
14,유형자산,579849238584,600059908840,576795049491
16,무형자산,39154459351,45767271450,56301616800
18,기타금융자산,1337405544,1673396987,3113849881
19,기타비유동자산,20414269489,20949309053,27127521049
20,이연법인세자산,21928175696,25514270589,22556455891
21,자산총계,1330157955644,1322136396170,1293763889127
22,부채,,,
23,유동부채,503499611243,472808003428,412713377328
25,당기손익인식금융부채,,5764961,545859387
26,기타금융부채,3520939924,31230000284,30616875183
27,기타유동부채,5543143362,10518989435,5420699194
29,충당부채,2694678094,938813045,2272806034
30,당기법인세부채,31504452,7992269246,17493418298
31,비유동부채,35894957347,103632635742,155796370454
34,이연법인세부채,186919205,256050121,302450344
35,충당부채,468679085,497536184,
36,부채총계,539394568590,576440639170,568509747782
45,자본과부채총계,1330157955644,1322136396170,1293763889127
