,tag,제 5 기,제 4 기,제 3 기
0,자산,,,
1,유동자산,233243107681,233367305275,210455514809
2,현금및현금성자산,85563921733,89959339081,75937468440
4,금융자산,600000000,600000000,1695000000
5,당기법인세자산,830147197,421730,
6,재고자산,89226550248,69744232531,53200022510
7,기타유동자산,1934724402,1822515756,1631266554
8,비유동자산,372034005873,379355547608,354213848046
10,비유동금융자산,21674844503,11584101730,9971223004
11,유형자산,256418751778,259520623223,227484956234
12,무형자산,63071749844,69608341667,88169369825
14,이연법인세자산,24935361632,32262717080,20117033588
15,자산총계,605277113554,612722852883,564669362855
16,부채,,,
17,유동부채,185010348641,211842524665,162897305940
19,금융부채,92657984300,111262552976,94763080427
20,당기법인세부채,129157261,1389093782,397358522
21,기타유동부채,11703636606,10670696130,12300925204
22,충당부채,9758147413,9475287776,
23,비유동부채,165719382195,147988815342,124947229366
24,비유동금융부채,74499899188,55185410619,36000000000
25,순확정급여부채,80891437496,82693331544,71247544364
26,충당부채,10328045511,10110073179,17699685002
27,부채총계,350729730836,359831340007,287844535306
36,자본과부채총계,605277113554,612722852883,564669362855
