,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 59 기,2020.12.31 현재,"708,039,111,267",제 58 기,2019.12.31 현재,"746,655,758,390",제 57 기,2018.12.31 현재,"779,602,914,345",1,KRW
1,재무상태표,비유동자산,제 59 기,2020.12.31 현재,"2,618,761,961,362",제 58 기,2019.12.31 현재,"2,621,356,458,064",제 57 기,2018.12.31 현재,"2,690,582,971,385",3,KRW
2,재무상태표,자산총계,제 59 기,2020.12.31 현재,"3,326,801,072,629",제 58 기,2019.12.31 현재,"3,368,012,216,454",제 57 기,2018.12.31 현재,"3,470,185,885,730",5,KRW
3,재무상태표,유동부채,제 59 기,2020.12.31 현재,"454,166,218,385",제 58 기,2019.12.31 현재,"682,131,914,933",제 57 기,2018.12.31 현재,"528,969,551,896",7,KRW
4,재무상태표,비유동부채,제 59 기,2020.12.31 현재,"1,182,953,097,894",제 58 기,2019.12.31 현재,"884,524,530,670",제 57 기,2018.12.31 현재,"962,328,764,183",9,KRW
5,재무상태표,부채총계,제 59 기,2020.12.31 현재,"1,637,119,316,279",제 58 기,2019.12.31 현재,"1,566,656,445,603",제 57 기,2018.12.31 현재,"1,491,298,316,079",11,KRW
6,재무상태표,자본금,제 59 기,2020.12.31 현재,"50,385,959,500",제 58 기,2019.12.31 현재,"505,403,280,000",제 57 기,2018.12.31 현재,"505,403,280,000",13,KRW
7,재무상태표,이익잉여금,제 59 기,2020.12.31 현재,"1,221,605,309,247",제 58 기,2019.12.31 현재,"589,250,884,381",제 57 기,2018.12.31 현재,"675,878,633,735",17,KRW
8,재무상태표,자본총계,제 59 기,2020.12.31 현재,"1,689,681,756,350",제 58 기,2019.12.31 현재,"1,801,355,770,851",제 57 기,2018.12.31 현재,"1,978,887,569,651",21,KRW
9,손익계산서,매출액,제 59 기,2020.01.01 ~ 2020.12.31,"1,470,799,173,925",제 58 기,2019.01.01 ~ 2019.12.31,"1,538,480,682,981",제 57 기,2018.01.01 ~ 2018.12.31,"1,509,985,105,210",23,KRW
10,손익계산서,영업이익,제 59 기,2020.01.01 ~ 2020.12.31,"250,161,895,107",제 58 기,2019.01.01 ~ 2019.12.31,"229,221,973,823",제 57 기,2018.01.01 ~ 2018.12.31,"247,489,397,437",25,KRW
11,손익계산서,법인세차감전 순이익,제 59 기,2020.01.01 ~ 2020.12.31,"164,707,757,921",제 58 기,2019.01.01 ~ 2019.12.31,"167,770,976,712",제 57 기,2018.01.01 ~ 2018.12.31,"200,672,548,555",27,KRW
12,손익계산서,당기순이익,제 59 기,2020.01.01 ~ 2020.12.31,"138,181,424,905",제 58 기,2019.01.01 ~ 2019.12.31,"131,120,968,001",제 57 기,2018.01.01 ~ 2018.12.31,"147,364,182,629",29,KRW
13,손익계산서,당기순이익(손실),제 59 기,2020.01.01 ~ 2020.12.31,"138,181,424,905",제 58 기,2019.01.01 ~ 2019.12.31,"131,120,968,001",제 57 기,2018.01.01 ~ 2018.12.31,"147,364,182,629",61,KRW
14,재무상태표,유동자산,제 59 기,2020.12.31 현재,"575,199,511,017",제 58 기,2019.12.31 현재,"612,915,298,342",제 57 기,2018.12.31 현재,"607,663,910,405",2,KRW
15,재무상태표,비유동자산,제 59 기,2020.12.31 현재,"2,348,727,124,991",제 58 기,2019.12.31 현재,"2,347,917,842,860",제 57 기,2018.12.31 현재,"2,399,274,734,231",4,KRW
16,재무상태표,자산총계,제 59 기,2020.12.31 현재,"2,923,926,636,008",제 58 기,2019.12.31 현재,"2,960,833,141,202",제 57 기,2018.12.31 현재,"3,006,938,644,636",6,KRW
17,재무상태표,유동부채,제 59 기,2020.12.31 현재,"283,516,442,187",제 58 기,2019.12.31 현재,"536,289,278,242",제 57 기,2018.12.31 현재,"388,797,715,893",8,KRW
18,재무상태표,비유동부채,제 59 기,2020.12.31 현재,"969,126,943,666",제 58 기,2019.12.31 현재,"638,946,259,633",제 57 기,2018.12.31 현재,"722,141,325,026",10,KRW
19,재무상태표,부채총계,제 59 기,2020.12.31 현재,"1,252,643,385,853",제 58 기,2019.12.31 현재,"1,175,235,537,875",제 57 기,2018.12.31 현재,"1,110,939,040,919",12,KRW
20,재무상태표,자본금,제 59 기,2020.12.31 현재,"50,385,959,500",제 58 기,2019.12.31 현재,"505,403,280,000",제 57 기,2018.12.31 현재,"505,403,280,000",15,KRW
21,재무상태표,이익잉여금,제 59 기,2020.12.31 현재,"1,142,695,735,143",제 58 기,2019.12.31 현재,"506,381,334,360",제 57 기,2018.12.31 현재,"583,854,077,405",19,KRW
22,재무상태표,자본총계,제 59 기,2020.12.31 현재,"1,671,283,250,155",제 58 기,2019.12.31 현재,"1,785,597,603,327",제 57 기,2018.12.31 현재,"1,895,999,603,717",22,KRW
23,손익계산서,매출액,제 59 기,2020.01.01 ~ 2020.12.31,"992,643,779,458",제 58 기,2019.01.01 ~ 2019.12.31,"1,044,759,954,868",제 57 기,2018.01.01 ~ 2018.12.31,"995,862,518,598",24,KRW
24,손익계산서,영업이익,제 59 기,2020.01.01 ~ 2020.12.31,"196,066,668,271",제 58 기,2019.01.01 ~ 2019.12.31,"171,194,003,954",제 57 기,2018.01.01 ~ 2018.12.31,"167,467,613,005",26,KRW
25,손익계산서,법인세차감전 순이익,제 59 기,2020.01.01 ~ 2020.12.31,"155,444,971,097",제 58 기,2019.01.01 ~ 2019.12.31,"166,275,226,104",제 57 기,2018.01.01 ~ 2018.12.31,"191,536,630,042",28,KRW
26,손익계산서,당기순이익,제 59 기,2020.01.01 ~ 2020.12.31,"134,193,211,231",제 58 기,2019.01.01 ~ 2019.12.31,"136,912,335,997",제 57 기,2018.01.01 ~ 2018.12.31,"150,905,319,630",30,KRW
27,손익계산서,당기순이익(손실),제 59 기,2020.01.01 ~ 2020.12.31,"134,193,211,231",제 58 기,2019.01.01 ~ 2019.12.31,"136,912,335,997",제 57 기,2018.01.01 ~ 2018.12.31,"150,905,319,630",62,KRW
