,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 54 기,2020.12.31 현재,"431,206,466,314",제 53 기,2019.12.31 현재,"419,637,962,640",제 52 기,2018.12.31 현재,"498,374,639,687",1,KRW
1,재무상태표,비유동자산,제 54 기,2020.12.31 현재,"2,914,382,304,920",제 53 기,2019.12.31 현재,"2,921,236,179,337",제 52 기,2018.12.31 현재,"2,434,553,336,543",3,KRW
2,재무상태표,자산총계,제 54 기,2020.12.31 현재,"3,345,588,771,234",제 53 기,2019.12.31 현재,"3,340,874,141,977",제 52 기,2018.12.31 현재,"2,932,927,976,230",5,KRW
3,재무상태표,유동부채,제 54 기,2020.12.31 현재,"596,705,290,026",제 53 기,2019.12.31 현재,"775,381,721,342",제 52 기,2018.12.31 현재,"781,319,984,478",7,KRW
4,재무상태표,비유동부채,제 54 기,2020.12.31 현재,"1,895,560,328,039",제 53 기,2019.12.31 현재,"1,670,290,007,881",제 52 기,2018.12.31 현재,"1,372,127,856,775",9,KRW
5,재무상태표,부채총계,제 54 기,2020.12.31 현재,"2,492,265,618,065",제 53 기,2019.12.31 현재,"2,445,671,729,223",제 52 기,2018.12.31 현재,"2,153,447,841,253",11,KRW
6,재무상태표,자본금,제 54 기,2020.12.31 현재,"122,135,545,000",제 53 기,2019.12.31 현재,"122,132,520,000",제 52 기,2018.12.31 현재,"122,132,520,000",13,KRW
7,재무상태표,이익잉여금,제 54 기,2020.12.31 현재,"402,438,053,535",제 53 기,2019.12.31 현재,"393,648,583,153",제 52 기,2018.12.31 현재,"330,170,797,281",17,KRW
8,재무상태표,자본총계,제 54 기,2020.12.31 현재,"853,323,153,169",제 53 기,2019.12.31 현재,"895,202,412,754",제 52 기,2018.12.31 현재,"779,480,134,977",21,KRW
9,손익계산서,매출액,제 54 기,2020.01.01 ~ 2020.12.31,"884,078,269,341",제 53 기,2019.01.01 ~ 2019.12.31,"1,005,657,249,125",제 52 기,2018.01.01 ~ 2018.12.31,"1,284,595,553,233",23,KRW
10,손익계산서,영업이익,제 54 기,2020.01.01 ~ 2020.12.31,"145,937,798,507",제 53 기,2019.01.01 ~ 2019.12.31,"128,783,605,822",제 52 기,2018.01.01 ~ 2018.12.31,"135,027,508,093",25,KRW
11,손익계산서,법인세차감전 순이익,제 54 기,2020.01.01 ~ 2020.12.31,"26,566,568,062",제 53 기,2019.01.01 ~ 2019.12.31,"89,364,586,057",제 52 기,2018.01.01 ~ 2018.12.31,"75,366,420,034",27,KRW
