,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 45 기,2020.12.31 현재,"46,306,336,995",제 44 기,2019.12.31 현재,"38,296,401,269",제 43 기,2018.12.31 현재,"41,144,155,050",2,KRW
1,재무상태표,비유동자산,제 45 기,2020.12.31 현재,"89,026,044,688",제 44 기,2019.12.31 현재,"89,047,741,172",제 43 기,2018.12.31 현재,"85,371,101,922",4,KRW
2,재무상태표,자산총계,제 45 기,2020.12.31 현재,"135,332,381,683",제 44 기,2019.12.31 현재,"127,344,142,441",제 43 기,2018.12.31 현재,"126,515,256,972",6,KRW
3,재무상태표,유동부채,제 45 기,2020.12.31 현재,"43,728,865,706",제 44 기,2019.12.31 현재,"57,396,298,089",제 43 기,2018.12.31 현재,"58,921,962,680",8,KRW
4,재무상태표,비유동부채,제 45 기,2020.12.31 현재,"25,743,997,144",제 44 기,2019.12.31 현재,"5,595,387,701",제 43 기,2018.12.31 현재,"5,826,325,867",10,KRW
5,재무상태표,부채총계,제 45 기,2020.12.31 현재,"69,472,862,850",제 44 기,2019.12.31 현재,"62,991,685,790",제 43 기,2018.12.31 현재,"64,748,288,547",12,KRW
6,재무상태표,자본금,제 45 기,2020.12.31 현재,"18,065,386,500",제 44 기,2019.12.31 현재,"18,065,386,500",제 43 기,2018.12.31 현재,"18,065,386,500",15,KRW
7,재무상태표,이익잉여금,제 45 기,2020.12.31 현재,"48,400,083,668",제 44 기,2019.12.31 현재,"46,268,535,726",제 43 기,2018.12.31 현재,"44,616,934,586",19,KRW
8,재무상태표,자본총계,제 45 기,2020.12.31 현재,"65,859,518,833",제 44 기,2019.12.31 현재,"64,352,456,651",제 43 기,2018.12.31 현재,"61,766,968,425",22,KRW
9,손익계산서,매출액,제 45 기,2020.01.01 ~ 2020.12.31,"149,049,673,997",제 44 기,2019.01.01 ~ 2019.12.31,"149,168,950,259",제 43 기,2018.01.01 ~ 2018.12.31,"150,703,085,038",24,KRW
10,손익계산서,영업이익,제 45 기,2020.01.01 ~ 2020.12.31,"3,962,855,959",제 44 기,2019.01.01 ~ 2019.12.31,"3,700,345,257",제 43 기,2018.01.01 ~ 2018.12.31,"4,134,078,737",26,KRW
11,손익계산서,법인세차감전 순이익,제 45 기,2020.01.01 ~ 2020.12.31,"3,227,039,013",제 44 기,2019.01.01 ~ 2019.12.31,"2,718,029,306",제 43 기,2018.01.01 ~ 2018.12.31,"3,008,117,678",28,KRW
12,손익계산서,당기순이익,제 45 기,2020.01.01 ~ 2020.12.31,"2,105,551,748",제 44 기,2019.01.01 ~ 2019.12.31,"1,827,957,679",제 43 기,2018.01.01 ~ 2018.12.31,"2,154,613,534",30,KRW
13,손익계산서,당기순이익(손실),제 45 기,2020.01.01 ~ 2020.12.31,"2,105,551,748",제 44 기,2019.01.01 ~ 2019.12.31,"1,827,957,679",제 43 기,2018.01.01 ~ 2018.12.31,"2,154,613,534",62,KRW
