,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 26 기,2020.12.31 현재,"4,462,924,201,049",제 25 기,2019.12.31 현재,"2,829,694,454,045",제 24 기,2018.12.31 현재,"2,858,950,414,592",1,KRW
1,재무상태표,비유동자산,제 26 기,2020.12.31 현재,"6,987,396,305,870",제 25 기,2019.12.31 현재,"5,907,561,301,729",제 24 기,2018.12.31 현재,"5,100,591,690,675",3,KRW
2,재무상태표,자산총계,제 26 기,2020.12.31 현재,"11,953,970,238,956",제 25 기,2019.12.31 현재,"8,737,255,755,774",제 24 기,2018.12.31 현재,"7,959,542,105,267",5,KRW
3,재무상태표,유동부채,제 26 기,2020.12.31 현재,"2,929,590,461,315",제 25 기,2019.12.31 현재,"2,433,322,136,077",제 24 기,2018.12.31 현재,"2,039,196,496,491",7,KRW
4,재무상태표,비유동부채,제 26 기,2020.12.31 현재,"1,166,097,939,840",제 25 기,2019.12.31 현재,"563,815,868,409",제 24 기,2018.12.31 현재,"293,188,044,408",9,KRW
5,재무상태표,부채총계,제 26 기,2020.12.31 현재,"4,526,241,211,441",제 25 기,2019.12.31 현재,"2,997,138,004,486",제 24 기,2018.12.31 현재,"2,332,384,540,899",11,KRW
6,재무상태표,자본금,제 26 기,2020.12.31 현재,"44,300,999,000",제 25 기,2019.12.31 현재,"43,161,318,000",제 24 기,2018.12.31 현재,"41,743,886,500",13,KRW
7,재무상태표,이익잉여금,제 26 기,2020.12.31 현재,"316,324,859,524",제 25 기,2019.12.31 현재,"148,154,241,860",제 24 기,2018.12.31 현재,"453,400,467,566",17,KRW
8,재무상태표,자본총계,제 26 기,2020.12.31 현재,"7,427,729,027,515",제 25 기,2019.12.31 현재,"5,740,117,751,288",제 24 기,2018.12.31 현재,"5,627,157,564,368",21,KRW
9,손익계산서,영업이익,제 26 기,2020.01.01 ~ 2020.12.31,"455,855,515,211",제 25 기,2019.01.01 ~ 2019.12.31,"206,786,221,786",제 24 기,2018.01.01 ~ 2018.12.31,"72,948,889,927",25,KRW
10,손익계산서,법인세차감전 순이익,제 26 기,2020.01.01 ~ 2020.12.31,"414,271,425,061",제 25 기,2019.01.01 ~ 2019.12.31,"-234,256,905,702",제 24 기,2018.01.01 ~ 2018.12.31,"130,669,862,739",27,KRW
11,손익계산서,당기순이익,제 26 기,2020.01.01 ~ 2020.12.31,"173,359,671,915",제 25 기,2019.01.01 ~ 2019.12.31,"-341,924,578,348",제 24 기,2018.01.01 ~ 2018.12.31,"15,888,859,209",29,KRW
12,손익계산서,당기순이익(손실),제 26 기,2020.01.01 ~ 2020.12.31,"173,359,671,915",제 25 기,2019.01.01 ~ 2019.12.31,"-341,924,578,348",제 24 기,2018.01.01 ~ 2018.12.31,"15,888,859,209",61,KRW
13,재무상태표,유동자산,제 26 기,2020.12.31 현재,"1,782,401,903,517",제 25 기,2019.12.31 현재,"1,014,030,589,420",제 24 기,2018.12.31 현재,"1,261,479,760,000",2,KRW
14,재무상태표,비유동자산,제 26 기,2020.12.31 현재,"5,563,104,581,267",제 25 기,2019.12.31 현재,"5,470,330,027,390",제 24 기,2018.12.31 현재,"4,941,359,118,843",4,KRW
15,재무상태표,자산총계,제 26 기,2020.12.31 현재,"7,345,506,484,784",제 25 기,2019.12.31 현재,"6,484,360,616,810",제 24 기,2018.12.31 현재,"6,202,838,878,843",6,KRW
16,재무상태표,유동부채,제 26 기,2020.12.31 현재,"1,421,581,282,550",제 25 기,2019.12.31 현재,"1,370,950,261,505",제 24 기,2018.12.31 현재,"1,250,705,990,145",8,KRW
17,재무상태표,비유동부채,제 26 기,2020.12.31 현재,"598,480,116,822",제 25 기,2019.12.31 현재,"255,099,527,270",제 24 기,2018.12.31 현재,"200,789,638,807",10,KRW
18,재무상태표,부채총계,제 26 기,2020.12.31 현재,"2,020,061,399,372",제 25 기,2019.12.31 현재,"1,626,049,788,775",제 24 기,2018.12.31 현재,"1,451,495,628,952",12,KRW
19,재무상태표,자본금,제 26 기,2020.12.31 현재,"44,300,999,000",제 25 기,2019.12.31 현재,"43,161,318,000",제 24 기,2018.12.31 현재,"41,743,886,500",15,KRW
20,재무상태표,이익잉여금,제 26 기,2020.12.31 현재,"209,149,712,500",제 25 기,2019.12.31 현재,"314,504,187,531",제 24 기,2018.12.31 현재,"579,442,074,110",19,KRW
21,재무상태표,자본총계,제 26 기,2020.12.31 현재,"5,325,445,085,412",제 25 기,2019.12.31 현재,"4,858,310,828,035",제 24 기,2018.12.31 현재,"4,751,343,249,891",22,KRW
22,손익계산서,영업이익,제 26 기,2020.01.01 ~ 2020.12.31,"300,064,492,177",제 25 기,2019.01.01 ~ 2019.12.31,"196,063,924,523",제 24 기,2018.01.01 ~ 2018.12.31,"122,366,055,178",26,KRW
23,손익계산서,법인세차감전 순이익,제 26 기,2020.01.01 ~ 2020.12.31,"-35,091,884,829",제 25 기,2019.01.01 ~ 2019.12.31,"-230,629,069,957",제 24 기,2018.01.01 ~ 2018.12.31,"182,665,093,136",28,KRW
24,손익계산서,당기순이익,제 26 기,2020.01.01 ~ 2020.12.31,"-117,878,818,553",제 25 기,2019.01.01 ~ 2019.12.31,"-259,705,692,892",제 24 기,2018.01.01 ~ 2018.12.31,"90,230,380,212",30,KRW
25,손익계산서,당기순이익(손실),제 26 기,2020.01.01 ~ 2020.12.31,"-117,878,818,553",제 25 기,2019.01.01 ~ 2019.12.31,"-259,705,692,892",제 24 기,2018.01.01 ~ 2018.12.31,"90,230,380,212",62,KRW
