,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 2 기,2020.12.31 현재,"450,375,920,905",제 1 기,2019.12.31 현재,"230,551,464,903",-,1,KRW
1,재무상태표,비유동자산,제 2 기,2020.12.31 현재,"390,792,565,638",제 1 기,2019.12.31 현재,"263,648,710,535",-,3,KRW
2,재무상태표,자산총계,제 2 기,2020.12.31 현재,"841,168,486,543",제 1 기,2019.12.31 현재,"494,200,175,438",-,5,KRW
3,재무상태표,유동부채,제 2 기,2020.12.31 현재,"167,427,410,105",제 1 기,2019.12.31 현재,"184,007,280,616",-,7,KRW
4,재무상태표,비유동부채,제 2 기,2020.12.31 현재,"183,882,418,408",제 1 기,2019.12.31 현재,"169,560,785,857",-,9,KRW
5,재무상태표,부채총계,제 2 기,2020.12.31 현재,"351,309,828,513",제 1 기,2019.12.31 현재,"353,568,066,473",-,11,KRW
6,재무상태표,자본금,제 2 기,2020.12.31 현재,"3,960,220,800",제 1 기,2019.12.31 현재,"3,960,220,800",-,13,KRW
7,재무상태표,이익잉여금,제 2 기,2020.12.31 현재,"-6,711,453,221",제 1 기,2019.12.31 현재,"4,326,999,869",-,17,KRW
8,재무상태표,자본총계,제 2 기,2020.12.31 현재,"489,858,658,030",제 1 기,2019.12.31 현재,"140,632,108,965",-,21,KRW
9,손익계산서,매출액,제 2 기,2020.01.01 ~ 2020.12.31,"290,163,176,318",제 1 기,2019.10.01 ~ 2019.12.31,"69,994,767,555",-,23,KRW
10,손익계산서,영업이익,제 2 기,2020.01.01 ~ 2020.12.31,"30,385,573,962",제 1 기,2019.10.01 ~ 2019.12.31,"10,179,272,706",-,25,KRW
11,손익계산서,법인세차감전 순이익,제 2 기,2020.01.01 ~ 2020.12.31,"-2,277,481,410",제 1 기,2019.10.01 ~ 2019.12.31,"6,850,314,479",-,27,KRW
12,손익계산서,당기순이익,제 2 기,2020.01.01 ~ 2020.12.31,"-11,038,453,090",제 1 기,2019.10.01 ~ 2019.12.31,"4,493,418,770",-,29,KRW
13,손익계산서,당기순이익(손실),제 2 기,2020.01.01 ~ 2020.12.31,"-11,038,453,090",제 1 기,2019.10.01 ~ 2019.12.31,"4,493,418,770",-,61,KRW
14,재무상태표,유동자산,제 2 기,2020.12.31 현재,"112,066,610,514",제 1 기,2019.12.31 현재,"79,605,892,777",-,2,KRW
15,재무상태표,비유동자산,제 2 기,2020.12.31 현재,"153,112,509,552",제 1 기,2019.12.31 현재,"96,228,604,148",-,4,KRW
16,재무상태표,자산총계,제 2 기,2020.12.31 현재,"265,179,120,066",제 1 기,2019.12.31 현재,"175,834,496,925",-,6,KRW
17,재무상태표,유동부채,제 2 기,2020.12.31 현재,"82,187,539,561",제 1 기,2019.12.31 현재,"64,265,358,367",-,8,KRW
18,재무상태표,비유동부채,제 2 기,2020.12.31 현재,"40,915,899,958",제 1 기,2019.12.31 현재,"8,069,046,046",-,10,KRW
19,재무상태표,부채총계,제 2 기,2020.12.31 현재,"123,103,439,519",제 1 기,2019.12.31 현재,"72,334,404,413",-,12,KRW
20,재무상태표,자본금,제 2 기,2020.12.31 현재,"3,960,220,800",제 1 기,2019.12.31 현재,"3,960,220,800",-,15,KRW
21,재무상태표,이익잉여금,제 2 기,2020.12.31 현재,"55,387,253,788",제 1 기,2019.12.31 현재,"15,164,578,771",-,19,KRW
22,재무상태표,자본총계,제 2 기,2020.12.31 현재,"142,075,680,547",제 1 기,2019.12.31 현재,"103,500,092,512",-,22,KRW
23,손익계산서,매출액,제 2 기,2020.01.01 ~ 2020.12.31,"126,048,680,281",제 1 기,2019.10.01 ~ 2019.12.31,"44,849,478,593",-,24,KRW
24,손익계산서,영업이익,제 2 기,2020.01.01 ~ 2020.12.31,"26,665,796,095",제 1 기,2019.10.01 ~ 2019.12.31,"20,917,668,561",-,26,KRW
25,손익계산서,법인세차감전 순이익,제 2 기,2020.01.01 ~ 2020.12.31,"48,356,057,610",제 1 기,2019.10.01 ~ 2019.12.31,"19,563,707,028",-,28,KRW
26,손익계산서,당기순이익,제 2 기,2020.01.01 ~ 2020.12.31,"40,222,675,017",제 1 기,2019.10.01 ~ 2019.12.31,"15,330,997,672",-,30,KRW
27,손익계산서,당기순이익(손실),제 2 기,2020.01.01 ~ 2020.12.31,"40,222,675,017",제 1 기,2019.10.01 ~ 2019.12.31,"15,330,997,672",-,62,KRW
