,tag,제 11 기,제 10 기,제 10 기초,제 9 기
0,자산총계,224918994878,220444686043,200078251927,
1,부채총계,51271896340,45446252745,33638391103,
2,무형자산,1732712452,1828403786,2028407391,
3,영업이익(손실),6791254015,6452868937.0,,742002530
4,법인세비용차감전순이익(손실),7877532803,11447511038.0,,7738599657
