,tag,제 61 기,제 60 기,제 60 기초,제 59 기
0,자산총계,400968741555,388534557104,493615375255.0,
1,부채총계,129777604981,62048555734,80172893218.0,
2,무형자산,6999008488,10381484749,8969380029.0,
3,영업이익,4028150006,9537426721,,35126799738
4,법인세비용차감전순손실,"(8,299,644,577)","(1,361,809,940)",,191055647373
