,tag,제 29 기,제 28 기,제 27 기
0,자산총계,294887205322,283444245278,298635095837
1,부채총계,119670297346,98937817604,124237324878
2,무형자산,10255539795,7366374315,8052540404
3,영업이익(손실),3527629021,6975754090,"(6,797,925,882)"
4,계속영업이익(손실),"(13,364,917,102)","(626,764,511)","(25,550,913,159)"
5,중단영업이익(손실),"(441,755,468)","(10,956,636,925)","(13,547,227,166)"
6,계속영업이익(손실),"(13,263,517,228)","(509,432,796)","(25,415,983,196)"
7,중단영업이익(손실),"(441,755,468)","(10,956,636,925)","(13,547,227,166)"
8,계속영업이익(손실),"(101,399,874)","(117,331,715)","(134,929,963)"
9,중단영업이익(손실),,,
10,계속영업법인세비용차감전순이익(손실),"(14,917,502,870)",483333919,"(26,013,871,772)"
