,tag,제 31 기,제 30 기,제 29 기
0,자산총계,801694287852,521648374150,281991632788
1,부채총계,541088884320,331008677299,140785217658
2,영업권 이외의 무형자산,17433756696,15186980046,3948890598
3,영업이익(손실),"(3,566,837,922)",61591419326,22028887806
4,계속영업이익(손실),"(62,280,613,272)",32275110385,24865812876
5,중단영업이익(손실),"(380,457,150)","(1,183,439,204)","(1,916,628,617)"
6,계속영업이익(손실),"(48,682,095,016)",32303454018,26315215492
7,중단영업이익(손실),"(142,671,431)","(443,789,700)","(1,223,480,362)"
8,계속영업이익(손실),"(13,598,518,256)","(28,343,633)","(1,449,402,616)"
9,중단영업이익(손실),"(237,785,719)","(739,649,504)","(693,148,255)"
10,법인세비용차감전순이익(손실),"(60,681,788,763)",44139501502,36560014820
