,tag,제 12 기,제 11 기,제 10 기
0,자산총계,1021055617765,1179455696933,1170729344805
1,부채총계,599703859286,724452009761,678071687832
2,무형자산,6771749264,7930053357,28043437992
3,영업이익(손실),64864260293,84888528510,38033273406
4,계속영업이익(손실),77975794621,41827041884,"(8,652,551,786)"
5,중단영업이익(손실),"(52,148,991,048)","(59,094,758,498)","(41,149,809,614)"
6,계속영업이익(손실),77975794621,41827041884,"(8,652,551,786)"
7,중단영업이익(손실),"(42,907,462,409)","(42,076,299,837)","(42,099,786,939)"
8,중단영업이익(손실),"(9,241,528,639)","(17,018,458,661)",949977325
9,계속영업이익(손실),75236254395,38666676095,"(9,351,174,675)"
10,중단영업이익(손실),"(42,592,875,062)","(38,689,034,254)","(42,304,250,214)"
11,중단영업이익(손실),"(9,087,340,049)","(16,923,846,797)",800225708
12,법인세비용차감전순이익(손실),70398936764,58686465338,"(3,127,318,217)"
