,tag,제 54 기,제 53 기,제 52 기
0,자산총계,766137054522,871001110157,497537191967
1,부채총계,628399403198,625218171717,212632461499
2,무형자산,29722022564,33679689453,33844222703
3,영업이익(손실),"(177,740,674,351)","(23,722,587,043)",44091727440
4,계속영업이익(손실),"(144,203,953,795)","(47,605,953,860)",35675267646
5,중단영업이익(손실),"(193,317,852)","(55,930,581)","(1,845,732,074)"
6,계속영업이익(손실),"(85,271,778,967)","(29,487,159,508)",26684566028
7,중단영업이익(손실),"(193,317,852)","(55,930,581)","(1,845,732,074)"
8,계속영업이익(손실),"(58,932,174,828)","(18,118,794,352)",8990701618
9,중단영업이익(손실),0,0,0
10,법인세비용차감전순이익(손실),"(180,893,508,848)","(61,307,431,273)",44679036440
