,tag,제 38 기,제 37 기,제 36 기
0,자산총계,1095983599960,2901605949317,759854099208
1,부채총계,897850725655,2636630182676,534214362494
2,무형자산,64921316047,62788306417,10035637082
3,기타무형자산,115467429746,115182844244,1874210770
4,(기타무형자산상각누계액),"(114,895,048,109)","(114,593,670,785)","(1,548,399,831)"
5,(기타무형자산손상차손누계액),"(538,798,456)","(538,798,456)","(255,630,489)"
6,건설중인무형자산,9454409121,12474728355,158508820
7,영업이익(손실),22859138443,75213065926,"(45,833,692,082)"
8,법인세비용차감전계속영업이익(손실),"(364,263,357)","(236,081,303,836)","(62,701,358,800)"
9,계속영업이익(손실),"(14,726,933,908)","(220,957,947,351)","(72,807,786,890)"
10,중단영업이익(손실),"(7,855,596,558)","(16,542,871,551)","(30,450,989,144)"
11,법인세비용차감전계속영업이익(손실),"(364,263,357)","(236,081,303,836)","(62,701,358,800)"
