,tag,제 84 기,제 83 기,제 82 기
0,자산총계,30117622955500,29169746816091,28880281619788
1,부채총계,22408094225620,22350207440680,21735235428716
2,무형자산,8158218407377,7357788872212,7018209744701
3,영업이익(손실),274996524581,1228551216003,1106421879930
4,계속영업이익(손실),"(970,661,188,420)","(97,330,292,870)","(313,083,346,304)"
5,중단영업이익(손실),6769231904,530437065402,"(27,427,648,210)"
6,보통주기본주당계속영업이익(손실) (단위 : 원),"(31,496)","(7,884)","(8,798)"
7,구형우선주기본주당계속영업이익(손실) (단위 : 원),"(31,456)","(7,900)","(5,108)"
8,보통주기본주당중단영업이익(손실) (단위 : 원),404,29784,2843
9,구형우선주기본주당중단영업이익(손실) (단위 : 원),404,29845,(797)
10,보통주희석주당계속영업이익(손실) (단위 : 원),"(31,496)","(7,884)","(8,798)"
11,구형우선주희석주당계속영업이익(손실) (단위 : 원),"(31,456)","(7,900)","(5,107)"
12,보통주희석주당중단영업이익(손실) (단위 : 원),404,29784,2843
13,구형우선주희석주당중단영업이익(손실) (단위 : 원),404,29845,(798)
14,법인세비용차감전순이익(손실),"(899,301,630,041)",139274588158,"(79,642,926,674)"
