,tag,제 54 기,제 53 기,제 52 기
0,자산총계,1093370177549,1238166154288,1286504595536
1,부채총계,606229982083,778259311904,792811177211
2,무형자산,18627273333,24398906756,28852710599
3,영업이익(손실),54315676779,51171062520,41544954339
4,계속영업이익(손실),25683923041,"(10,769,372,573)",
5,중단영업이익(손실),14655700132,"(11,739,825,364)",
6,계속영업이익,13291346441,"(13,001,345,385)",
7,중단영업이익,9649782377,"(7,729,877,037)",
8,계속영업이익,12392576600,2231972812,
9,중단영업이익,5005917755,"(4,009,948,327)",
10,법인세비용차감전순이익(손실),34810384427,3466411721,17274715412
