,tag,제 53 기,제 52 기,제 51 기
0,자산총계,412243672684,389933341083,390848475721
1,부채총계,204746693419,147646969359,126722818204
2,무형자산,981431677,1005881129,2471383448
3,영업이익(손실),"(195,791,683)","(12,104,565,637)",3233416564
4,계속영업이익(손실),"(34,798,061,119)","(24,703,257,658)",972337737
5,중단영업이익(손실),"(1,476,600)",908856445,87952773
6,기본주당계속영업이익(손실) (단위 : 원),(128),(305),(7)
7,기본주당중단영업이익(손실) (단위 : 원),(0.03),21,2
8,희석주당계속영업이익(손실) (단위 : 원),(128),(305),(7)
9,희석주당중단영업이익(손실) (단위 : 원),(0.03),21,2
10,법인세비용차감전순이익(손실),"(35,383,240,608)","(25,100,367,519)",1011864491
