,tag,제 2 기,제 1 기
0,자산총계,841168486543,494200175438
1,부채총계,351309828513,353568066473
2,무형자산,12357145365,9683082196
3,영업이익(손실),30385573962,10179272706.0
4,보통주기본주당계속영업이익(손실) (단위 : 원),(279),113.0
5,구형우선주기본주당계속영업이익(손실) (단위 : 원),(278),114.0
6,보통주희석주당계속영업이익(손실) (단위 : 원),(279),113.0
7,구형우선주희석주당계속영업이익(손실) (단위 : 원),(278),114.0
8,법인세비용차감전순이익(손실),"(2,277,481,410)",6850314479.0
