,tag,제 66 기,제 65 기,제 64 기
0,자산총계,3708134498932.0,3618574586543.0,3473906793584.0
1,부채총계,2899011452318.0,2932490239178.0,2684488235881.0
2,무형자산,90831238934.0,93762000062.0,100751643620.0
3,영업이익(손실),271448093101,134398735133,105015810074
4,계속영업이익(손실),127302044182,"(5,706,074,198)","(7,264,267,265)"
5,중단영업이익(손실),25213406712,"(12,547,089,941)",
6,기본주당계속영업이익(보통주) (단위 : 원),8181,(781),(569)
7,희석주당계속영업이익(보통주) (단위 : 원),8140,(781),(569)
8,기본주당중단영업이익(보통주) (단위 : 원),1828,(848),
9,희석주당중단영업이익(보통주) (단위 : 원),1818,(848),
10,기본주당계속영업이익(우선주) (단위 : 원),8231,(731),(507)
11,희석주당계속영업이익(우선주) (단위 : 원),8190,(731),(507)
12,희석주당중단영업이익(우선주) (단위 : 원),1818,(848),
13,법인세비용차감전순이익(손실),182381783988,4507924253,11848600710
