,tag,제 15 기,제 14 기,제 13 기
0,자산총계,508119345418,539412881125,535580626315
1,부채총계,39818212034,63711144716,60834687619
2,무형자산,78324908159,77620241052,76389810744
3,영업이익(손실),3755262599,12993223278,21123820635
4,계속영업이익(손실),"(2,865,222,665)",9468709470,19776862327
5,중단영업이익(손실),"(636,839,645)","(2,032,000,253)","(1,221,098,166)"
6,지배기업소유주 계속영업이익,"(13,767,130,815)","(3,099,621,958)",9461252170
7,지배기업소유주 중단영업이익,"(448,144,058)","(1,619,149,913)","(1,221,098,166)"
8,비지배지분 계속영업이익,10901908150,12276964748,10315610157
9,비지배지분 중단영업이익,"(188,695,587)","(121,483,660)",0
10,법인세비용차감전순이익(손실),3567906753,17612253759,27244653949
