시도명,행정동명,승용,승합,특수,화물,총합계
대구,대구광역시 수성구 상동,92,,,12,104
대구,대구광역시 수성구 수성1가동,81,,,13,94
대구,대구광역시 수성구 수성2.3가동,101,,,11,112
대구,대구광역시 수성구 수성4가동,71,,,17,88
대구,대구광역시 수성구 중동,161,,,14,175
대구,대구광역시 수성구 지산1동,139,,,14,153
대구,대구광역시 수성구 지산2동,99,,,12,111
대구,대구광역시 수성구 파동,92,,,20,112
대구,대구광역시 수성구 황금1동,211,,,13,224
대구,대구광역시 수성구 황금2동,124,,,9,133
대구,대구광역시 중구 남산1동,25,,,4,29
대구,대구광역시 중구 남산2동,41,,,6,47
대구,대구광역시 중구 남산3동,36,,,3,39
대구,대구광역시 중구 남산4동,108,,,11,119
대구,대구광역시 중구 대봉1동,45,,,7,52
대구,대구광역시 중구 대봉2동,26,,,3,29
대구,대구광역시 중구 대신동,62,,,8,70
대구,대구광역시 중구 동인동,123,,,11,134
대구,대구광역시 중구 삼덕동,37,,,6,43
대구,대구광역시 중구 성내1동,407,,,466,873
대구,대구광역시 중구 성내2동,221,,,10,231
대구,대구광역시 중구 성내3동,31,,,6,37
