,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210318000957,Y,00140131,키다리스튜디오,남,기술연구개발,-,-,-,11,-,-,-,11,1.9,"628,076,000","57,098,000",-
1,20210318000957,Y,00140131,키다리스튜디오,여,기술연구개발,-,-,-,10,-,-,-,10,1.9,"325,143,000","32,514,000",-
2,20210318000957,Y,00140131,키다리스튜디오,남,영업/마케팅,-,-,-,15,-,-,-,15,2.4,"910,570,000","60,705,000",-
3,20210318000957,Y,00140131,키다리스튜디오,여,영업/마케팅,-,-,-,66,-,-,-,66,1.6,"2,076,589,000","31,463,000",-
4,20210318000957,Y,00140131,키다리스튜디오,남,관리사무직,-,-,-,9,-,-,-,9,1.8,"323,073,000","35,897,000",-
5,20210318000957,Y,00140131,키다리스튜디오,여,관리사무직,-,-,-,2,-,-,-,2,3.1,"78,036,000","39,018,000",-
