,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220728000033,Y,00162461,한화솔루션,남,케미칼부문,-,-,-,"2,288",-,55,-,"2,343",      15.0,"245,234,928,000","104,667,000",-
1,20220728000033,Y,00162461,한화솔루션,여,도시개발부문,-,-,-,4,-,-,-,4,      10.8,"128,639,000","32,160,000",-
2,20220728000033,Y,00162461,한화솔루션,여,케미칼부문,-,-,-,317,3,33,-,350,       7.4,"15,675,008,000","44,786,000",-
3,20220728000033,Y,00162461,한화솔루션,남,큐셀부문,-,-,-,"2,152",-,9,27,"2,161",       4.3,"114,321,659,000","52,902,000",-
4,20220728000033,Y,00162461,한화솔루션,여,큐셀부문,-,-,-,189,-,11,8,200,       4.6,"8,968,354,000","44,842,000",-
5,20220728000033,Y,00162461,한화솔루션,남,첨단소재부문,-,-,-,580,-,31,-,611,      16.4,"47,980,454,000","78,528,000",-
6,20220728000033,Y,00162461,한화솔루션,여,첨단소재부문,-,-,-,59,-,1,-,60,       8.9,"2,312,327,000","38,539,000",-
7,20220728000033,Y,00162461,한화솔루션,남,갤러리아부문,-,-,-,452,-,7,-,459,      16.1,"32,557,729,000","70,932,000",-
8,20220728000033,Y,00162461,한화솔루션,여,갤러리아부문,-,-,-,427,6,34,5,461,      12.5,"18,393,942,000","39,900,000",-
9,20220728000033,Y,00162461,한화솔루션,남,도시개발부문,-,-,-,59,-,2,-,61,      14.6,"3,860,783,000","63,292,000",-
