,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210322001100,K,00130383,서부T&D,남,쇼핑몰운영,-,-,-,41,-,3,-,44,   5 ,"1,900,036,000","43,183,000",중도퇴사자 제외
1,20210322001100,K,00130383,서부T&D,여,임대및기타사업,-,-,-,7,-,-,-,7,   4 ,"165,610,000","23,659,000",중도퇴사자 제외
2,20210322001100,K,00130383,서부T&D,여,쇼핑몰운영,-,-,-,18,-,4,4,22,   3 ,"527,191,000","23,963,000",중도퇴사자 제외
3,20210322001100,K,00130383,서부T&D,남,물류시설운영 ,-,-,-,20,-,-,-,20,   9 ,"787,635,000","39,382,000",중도퇴사자 제외
4,20210322001100,K,00130383,서부T&D,여,물류시설운영 ,-,-,-,3,-,-,-,3,   9 ,"107,016,000","35,672,000",중도퇴사자 제외
5,20210322001100,K,00130383,서부T&D,남,관광호텔업,-,-,-,150,-,27,-,177,   2 ,"5,615,336,000","31,725,000",중도퇴사자 제외
6,20210322001100,K,00130383,서부T&D,여,관광호텔업,-,-,-,149,2,16,-,165,   2 ,"4,597,563,000","27,864,000",중도퇴사자 제외
7,20210322001100,K,00130383,서부T&D,남,석유판매,-,-,-,10,5,-,-,10,  10 ,"276,074,000","27,607,000",중도퇴사자 제외
8,20210322001100,K,00130383,서부T&D,여,석유판매,-,-,-,1,-,-,-,1,  24 ,"48,217,000","48,217,000",중도퇴사자 제외
9,20210322001100,K,00130383,서부T&D,남,임대및기타사업,-,-,-,19,-,2,-,21,   7 ,"1,316,223,000","62,677,000",중도퇴사자 제외
