,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220316000886,Y,00401731,LG전자,남,H&A,-,-,-,"9,699",78,945,-,"10,644",14.1,-,-,-
1,20220316000886,Y,00401731,LG전자,여,본사 등,-,-,-,"2,221",15,39,-,"2,260",10.1,-,-,-
2,20220316000886,Y,00401731,LG전자,남,성별합계,-,-,-,"30,483",138,"1,016",-,"31,499",13.1,"3,365,792,000,000","101,000,000",-
3,20220316000886,Y,00401731,LG전자,여,성별합계,-,-,-,"4,782",29,218,-,"5,000",10.6,"399,263,000,000","77,000,000",-
4,20220316000886,Y,00401731,LG전자,여,H&A,-,-,-,"1,122",9,172,-,"1,294",9.6,-,-,-
5,20220316000886,Y,00401731,LG전자,남,HE,-,-,-,"3,174",11,5,-,"3,179",17.0,-,-,-
6,20220316000886,Y,00401731,LG전자,여,HE,-,-,-,467,2,3,-,470,12.7,-,-,-
7,20220316000886,Y,00401731,LG전자,남,VS,-,-,-,"2,988",9,3,-,"2,991",13.8,-,-,-
8,20220316000886,Y,00401731,LG전자,여,VS,-,-,-,568,1,2,-,570,13.0,-,-,-
9,20220316000886,Y,00401731,LG전자,남,BS,-,-,-,"2,889",7,11,-,"2,900",14.8,-,-,-
10,20220316000886,Y,00401731,LG전자,여,BS,-,-,-,404,2,2,-,406,11.2,-,-,-
11,20220316000886,Y,00401731,LG전자,남,본사 등,-,-,-,"11,733",33,52,-,"11,785",10.5,-,-,-
