,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220317001128,Y,00120030,GS건설,남,건축,-,-,-,"1,511",-,906,-,"2,417",17.4,"201,641,000,000","90,000,000",-
1,20220317001128,Y,00120030,GS건설,여,기타,-,-,-,84,-,5,-,89,12.4,"6,902,000,000","74,000,000",-
2,20220317001128,Y,00120030,GS건설,여,건축,-,-,-,61,-,250,-,311,12.4,"13,497,000,000","54,000,000",-
3,20220317001128,Y,00120030,GS건설,남,신사업,-,-,-,242,-,4,-,246,13.0,"28,022,000,000","118,000,000",-
4,20220317001128,Y,00120030,GS건설,여,신사업,-,-,-,22,-,1,-,23,11.2,"1,725,000,000","80,000,000",-
5,20220317001128,Y,00120030,GS건설,남,플랜트,-,-,-,898,-,96,-,994,14.4,"150,998,000,000","107,000,000",-
6,20220317001128,Y,00120030,GS건설,여,플랜트,-,-,-,83,-,36,-,119,11.6,"10,074,000,000","63,000,000",-
7,20220317001128,Y,00120030,GS건설,남,인프라,-,-,-,464,-,143,-,607,17.8,"68,210,000,000","106,000,000",-
8,20220317001128,Y,00120030,GS건설,여,인프라,-,-,-,4,-,34,-,38,12.1,"2,039,000,000","53,000,000",-
9,20220317001128,Y,00120030,GS건설,남,기타,-,-,-,576,-,13,-,589,14.8,"65,472,000,000","104,000,000",-
