,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220323001117,K,00842619,레고켐바이오,남,신약연구개발,-,-,-,50,-,1,-,51,4년 0개월,"5,910,000,000","116,000,000",-
1,20220323001117,K,00842619,레고켐바이오,여,신약연구개발,-,-,-,57,-,4,-,61,3년 9개월,"3,424,000,000","56,000,000",-
2,20220323001117,K,00842619,레고켐바이오,남,의약사업부문,-,-,-,2,-,-,-,2,4년 0개월,"199,000,000","99,000,000",-
3,20220323001117,K,00842619,레고켐바이오,여,의약사업부문,-,-,-,2,-,-,-,2,2년 11개월,"85,000,000","42,000,000",-
