,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220322001008,Y,00126937,삼양홀딩스,남,Staff그룹,-,-,-,66,-,1,-,67,12.5,"6,523,178,000","94,539,000",-
1,20220322001008,Y,00126937,삼양홀딩스,여,Staff그룹,-,-,-,52,-,4,-,56,8.1,"3,263,389,000","60,433,000",-
2,20220322001008,Y,00126937,삼양홀딩스,남,바이오팜그룹,-,-,-,222,-,11,-,233,9.8,"15,301,084,000","65,953,000",-
3,20220322001008,Y,00126937,삼양홀딩스,여,바이오팜그룹,-,-,-,92,-,33,-,125,7.1,"6,528,260,000","53,510,000",-
