,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210318000985,Y,00109754,대림비앤코,남,위생도기,-,-,-,327,-,-,-,327,15 ,"19,244,950,000","58,853,000","창원, 제천공장"
1,20210318000985,Y,00109754,대림비앤코,여,기타,-,-,-,1,-,1,1,2,3 ,"43,000,000","21,500,000",아도바이오㈜
2,20210318000985,Y,00109754,대림비앤코,여,위생도기,-,-,-,51,-,-,-,51,15 ,"2,906,762,000","56,995,000","창원, 제천공장"
3,20210318000985,Y,00109754,대림비앤코,남,기타,-,-,-,269,-,-,-,269,4 ,"15,164,460,000","56,373,000",서울사무소 등
4,20210318000985,Y,00109754,대림비앤코,여,기타,-,-,-,57,-,-,-,57,4 ,"2,157,783,000","37,856,000",서울사무소 등
5,20210318000985,Y,00109754,대림비앤코,남,기타,-,-,-,30,-,2,-,32,4 ,"1,623,739,000","50,742,000",안산공장
6,20210318000985,Y,00109754,대림비앤코,여,기타,-,-,-,24,-,1,-,25,4 ,"867,164,000","34,687,000",안산공장
7,20210318000985,Y,00109754,대림비앤코,남,기타,-,-,-,1,-,-,-,1,7 ,"291,550,000","291,550,000","Daelim B&Co(Shanghai) Co.,Ltd."
8,20210318000985,Y,00109754,대림비앤코,여,기타,-,-,-,1,-,-,-,1,10 ,"54,791,000","54,791,000","Daelim B&Co(Shanghai) Co.,Ltd."
9,20210318000985,Y,00109754,대림비앤코,남,기타,-,-,-,5,-,-,-,5,5 ,"495,000,000","99,000,000",아도바이오㈜
