,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220322001052,Y,00113207,대한전선,남,관리직,-,-,-,379,-,6,-,385,10.0,"24,409,000,000","63,000,000",-
1,20220322001052,Y,00113207,대한전선,여,관리직,-,-,-,59,-,2,-,61,7.9,"2,672,000,000","44,000,000",-
2,20220322001052,Y,00113207,대한전선,남,기능직,-,-,-,428,-,9,-,437,13.2,"29,762,000,000","68,000,000",-
3,20220322001052,Y,00113207,대한전선,여,기능직,-,-,-,-,-,-,-,-,-,-,-,-
