,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220315001036,Y,00356361,LG화학,남,석유화학,-,-,-,"5,683",-,189,-,"5,872",13.07 ,"634,824,000,000","113,000,000",-
1,20220315001036,Y,00356361,LG화학,여,석유화학,-,-,-,517,2,17,-,534,7.10 ,"33,994,000,000","73,000,000",-
2,20220315001036,Y,00356361,LG화학,남,첨단소재,-,-,-,"3,483",-,8,-,"3,491",14.01 ,"312,689,000,000","106,000,000",-
3,20220315001036,Y,00356361,LG화학,여,첨단소재,-,-,-,435,3,5,-,440,9.01 ,"29,622,000,000","72,000,000",-
4,20220315001036,Y,00356361,LG화학,남,생명과학,-,-,-,"1,300",1,31,-,"1,331",11.06 ,"127,853,000,000","97,000,000",-
5,20220315001036,Y,00356361,LG화학,여,생명과학,-,-,-,496,5,10,-,506,7.03 ,"39,786,000,000","81,000,000",-
6,20220315001036,Y,00356361,LG화학,남,공통 및 기타부문,-,-,-,"1,284",-,16,-,"1,300",10.02 ,"134,954,000,000","95,000,000",-
7,20220315001036,Y,00356361,LG화학,여,공통 및 기타부문,-,-,-,484,4,6,-,490,8.02 ,"37,268,000,000","78,000,000",-
