,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20230320000724,K,00265324,CJ ENM,남,방송사업,-,-,-,626,-,-,-,626,71개월,"66,050,000,000","106,000,000",-
1,20230320000724,K,00265324,CJ ENM,여,커머스사업,-,-,-,555,-,1,-,556,68개월,"33,481,000,000","60,000,000",-
2,20230320000724,K,00265324,CJ ENM,남,통합관리,-,-,-,360,2,9,7,369,71개월,"48,323,000,000","131,000,000",-
3,20230320000724,K,00265324,CJ ENM,여,통합관리,-,-,-,392,4,15,9,407,57개월,"33,673,000,000","83,000,000",-
4,20230320000724,K,00265324,CJ ENM,여,방송사업,-,-,-,950,-,1,-,951,60개월,"65,456,000,000","69,000,000",-
5,20230320000724,K,00265324,CJ ENM,남,영화사업,-,-,-,26,-,-,-,26,93개월,"2,570,000,000","99,000,000",-
6,20230320000724,K,00265324,CJ ENM,여,영화사업,-,-,-,73,-,-,-,73,75개월,"5,683,000,000","78,000,000",-
7,20230320000724,K,00265324,CJ ENM,남,음악사업,-,-,-,29,-,-,-,29,74개월,"3,001,000,000","103,000,000",-
8,20230320000724,K,00265324,CJ ENM,여,음악사업,-,-,-,72,-,-,-,72,40개월,"4,862,000,000","68,000,000",-
9,20230320000724,K,00265324,CJ ENM,남,공연사업,-,-,-,5,-,-,-,5,88개월,"568,000,000","114,000,000",-
10,20230320000724,K,00265324,CJ ENM,여,공연사업,-,-,-,8,-,-,-,8,74개월,"760,000,000","95,000,000",-
11,20230320000724,K,00265324,CJ ENM,남,커머스사업,-,-,-,344,-,-,-,344,100개월,"27,279,000,000","79,000,000",-
