corp_code,영업이익,year
166315,"87,362,958,755",2022
115977,"345,076,330,100",2022
106368,"1,147,745,512,728",2022
102618,"-10,631,134,052",2022
143527,"14,709,420,695",2022
164636,"158,535,478,442",2022
166272,"43,168,338,185",2022
159786,"147,870,643,696",2022
105101,"313,224,000",2022
159193,"-32,655,153,000,000",2022
130684,"3,324,640,638",2022
165583,"278,730,692,433",2022
159795,"24,798,059,067",2022
161125,"256,590,023,453",2022
133991,"28,815,275,301",2022
108913,"-49,959,384,890",2022
176914,"718,687,487,393",2022
203290,"33,000,195,009",2022
122737,"789,618,000,000",2022
148276,"311,412,761,580",2022
105873,"-2,085,047,000,000",2022
217947,"-12,042,239,735",2022
158316,"145,242,618,665",2022
219486,"37,528,514,949",2022
261285,"2,463,421,952,045",2022
225159,"144,692,982,304",2022
222532,"53,800,859,859",2022
219574,"3,400,294,229",2022
340917,"128,699,824,345",2022
356361,"2,995,698,000,000",2022
159209,"13,940,025,562",2022
256955,"25,451,378,469",2022
377610,"196,126,337,931",2022
390055,"-14,810,343,537",2022
413046,"647,198,174,586",2022
459871,"52,812,907,521",2022
481454,"23,135,670,517",2022
480455,"-8,816,000,000",2022
400857,"9,975,863,944",2022
357935,"20,387,199,874",2022
555874,"-177,502,073,624",2022
595191,"105,370,138,192",2022
414850,"22,323,153,949",2022
628189,"27,552,372,229",2022
679314,"55,370,343,076",2022
684714,"231,619,553,412",2022
776820,"823,027,257,046",2022
557508,"-13,917,278,200",2022
194947,"18,651,295,433",2022
855093,"70,603,246,898",2022
241005,"46,041,896,346",2022
937324,"705,818,089,039",2022
939331,"73,280,441,382",2022
939687,"8,078,839,374",2022
983271,"39,053,530,657",2022
990165,"117,970,811,813",2022
101664,"1,392,651,796",2022
911955,"4,808,880,833",2022
1108099,"14,277,070,571",2022
1032486,"1,071,606,774,000",2022
1128613,"52,800,968,970",2022
904672,"-108,688,598,689",2022
653024,"-67,279,707,925",2022
1060814,"23,696,000,000",2022
1319808,"117,984,446,512",2022
1325979,"215,165,657,893",2022
118804,"216,308,703,354",2022
158325,"71,616,495,095",2022
252135,"123,884,000,542",2022
223762,"13,820,761,140",2022
130763,"-33,437,894,990",2022
298270,"26,987,237,453",2022
358271,"160,920,342,192",2022
398701,"266,321,029,961",2022
579980,"-16,157,288,816",2022
536541,"613,226,487,106",2022
486097,"33,052,555,800",2022
447609,"131,267,542,314",2022
554024,"228,887,112,078",2022
579999,"44,258,682,098",2022
525934,"310,623,962,750",2022
857727,"46,819,347,142",2022
549891,"33,625,928,175",2022
1135941,"97,554,876,588",2022
1234507,"60,688,076,526",2022
119195,"29,915,077,882",2022
144818,"-592,113,629",2022
111847,"22,056,715,849",2022
148984,"22,597,868,685",2022
128032,"4,016,581,828",2022
149026,"15,632,045,335",2022
151395,"-7,411,183,633",2022
166519,"8,182,884,639",2022
100939,"4,405,118,561",2022
144252,"2,897,590,739",2022
134723,"25,843,738,569",2022
149947,"62,960,870,729",2022
113243,"43,274,283,090",2022
106395,"-11,787,966,654",2022
122472,"27,878,061,132",2022
122579,"25,326,353,051",2022
113234,"38,051,122,000",2022
159740,"197,916,716,776",2022
152862,"310,967,816,142",2022
101433,"40,975,101,750",2022
127042,"16,445,205,668",2022
158112,"25,702,536,748",2022
138729,"109,447,038,390",2022
136457,"805,218,302",2022
174527,"14,545,076,827",2022
148443,"-7,547,961,141",2022
117300,"43,983,210,872",2022
104722,"5,272,527,164",2022
127167,"19,352,102,542",2022
158149,"35,071,601,445",2022
165343,"2,682,218,552",2022
152880,"166,687,315,258",2022
132725,"1,904,947,045",2022
111810,"207,334,242,877",2022
118275,"11,153,444,246",2022
111999,"43,006,376,510",2022
163673,"37,130,000,000",2022
164706,"7,970,050,715",2022
133812,"45,146,617,926",2022
109806,"-6,978,041,314",2022
129235,"3,605,485,104",2022
133858,"81,090,384,601",2022
113492,"3,754,759,313",2022
172936,"22,590,867,293",2022
148920,"-1,615,834,521",2022
129989,"32,475,176,321",2022
163716,"9,846,444,821",2022
168331,"17,033,935,517",2022
121288,"6,277,196,330",2022
160302,"41,427,923,296",2022
156691,"2,592,551,465",2022
128412,"23,184,322,386",2022
127200,"16,282,037,403",2022
145163,"8,873,366,509",2022
153126,"38,440,307,559",2022
155531,"80,160,431,979",2022
143794,"3,400,937,500",2022
111421,"12,661,325,441",2022
113535,"267,671,830,651",2022
145552,"35,990,535,226",2022
118026,"494,432,749,962",2022
126779,"22,571,051,710",2022
159254,"30,029,847,771",2022
108977,"-16,303,455,665",2022
159810,"-122,282,523,566",2022
260383,"-214,640,345,650",2022
141404,"7,804,011,246",2022
122898,"18,828,034,737",2022
124090,"30,699,585,427",2022
130091,"10,335,490,908",2022
104388,"96,930,520,486",2022
152686,"99,194,841,606",2022
154329,"68,441,024,827",2022
137252,"15,251,124,105",2022
131692,"61,977,343,251",2022
145260,"-4,622,788,865",2022
103042,"37,534,026,539",2022
138260,"118,946,231,131",2022
136864,"33,368,554,911",2022
103592,"38,244,441,686",2022
153621,"1,308,108,163",2022
162586,"1,505,787,596",2022
159971,"13,566,515,116",2022
151128,"13,782,733,618",2022
160205,"10,520,196,988",2022
102858,"919,171,130,822",2022
141273,"2,559,154,200",2022
155124,"3,604,505,748",2022
139764,"-23,533,540,970",2022
129013,"4,135,027,843",2022
137207,"3,268,803,035",2022
138297,"-1,955,000,000",2022
136271,"21,021,027,961",2022
163345,"23,608,623,380",2022
141477,"4,226,983,642",2022
172291,"45,533,613,298",2022
173102,"2,895,379,738",2022
146232,"2,722,459,268",2022
117179,"32,920,856,088",2022
140779,"4,973,486,413",2022
105156,"30,590,826,516",2022
124780,"13,584,493,320",2022
132637,"91,839,427,774",2022
112679,"49,857,119,260",2022
153339,"54,916,688,892",2022
113614,"30,195,181,973",2022
161976,"192,868,855,902",2022
166573,"29,810,419,721",2022
108940,"6,984,420,659",2022
119672,"13,299,644,433",2022
161709,"32,658,637,873",2022
143651,"42,327,369,054",2022
121039,"6,433,888,101",2022
142883,"7,972,167,440",2022
152729,"5,837,058,369",2022
149239,"15,831,171,036",2022
137359,"-34,018,686,326",2022
118965,"1,128,592,573",2022
140131,"4,262,454,699",2022
198697,"1,052,222,165",2022
