corp_code,부채총계,year,영업이익,법인세차감전 순이익
255619,"752,374,769,957",2022,"217,565,214,200","167,851,826,370"
258801,"9,431,629,284,734",2022,"580,315,993,061","1,304,363,372,795"
261443,"1,239,083,608,249",2022,"559,006,120,606","609,050,943,296"
260408,"945,322,533,351",2022,"18,799,101,788","-37,585,486,981"
220561,"123,544,314,603",2022,"65,584,851,127","76,860,199,739"
160232,"1,252,892,414,726",2022,"69,511,091,603","46,647,231,356"
124540,"7,415,736,590,714",2022,"760,006,514,642","713,497,588,646"
309503,"6,319,189,867,558",2022,"141,617,667,318","122,121,929,956"
356370,"1,834,093,663,954",2022,"711,122,934,369","417,769,360,752"
349097,"503,764,190,486",2022,"63,195,741,120","33,430,748,587"
413523,"178,412,243,082",2022,"30,651,133,401","32,693,557,928"
412597,"823,288,672,056",2022,"110,640,961,829","96,757,694,526"
372882,"224,569,291,252",2022,"24,326,774,606","23,777,866,394"
372873,"199,203,706,481",2022,"19,544,619,038","19,862,606,504"
302926,"3,332,399,192,000",2022,"147,486,669,000","103,880,637,000"
401731,"32,664,144,000,000",2022,"3,550,972,000,000","2,539,811,000,000"
201450,"2,825,634,202,145",2022,"95,091,041,984","30,400,993,706"
428251,"5,702,018,783,000",2022,"320,928,734,000","246,711,565,000"
159698,"5,811,126,778,301",2022,"-403,893,693,760","-257,878,151,428"
158307,"1,168,922,511,871",2022,"-52,011,444,171","-557,697,012,049"
500254,"17,434,432,000,000",2022,"5,005,127,000,000","4,621,024,000,000"
303873,"3,208,379,045,793",2022,"-76,765,794,985","-237,643,036,305"
300548,"415,626,223,927",2022,"-27,895,323,942","-65,968,450,334"
503668,"2,077,548,155,320",2022,"179,111,737,872","157,771,953,695"
362238,"412,487,679,943",2022,"-83,009,289,041","-102,207,246,216"
195229,"2,247,238,042,986",2022,"435,072,372,234","453,137,117,071"
361008,"734,604,466,698",2022,"-29,534,217,363","-38,668,626,357"
539274,"2,460,226,574,943",2022,"143,809,242,039","118,845,988,072"
360595,"6,998,172,212,338",2022,"1,798,516,596,130","1,597,421,189,524"
583442,"315,503,885,865",2022,"26,100,359,244","17,779,741,850"
583424,"1,022,508,074,100",2022,"214,233,255,761","224,493,769,169"
635134,"18,484,219,204,000",2022,"1,664,708,210,000","1,245,523,117,000"
759513,"1,703,786,000,000",2022,"14,940,000,000","-105,943,000,000"
795135,"3,270,361,413,054",2022,"242,496,098,882","169,697,570,795"
828497,"915,359,048,755",2022,"158,090,311,455","121,012,526,736"
872984,"19,718,359,591,026",2022,"135,651,681,895","1,252,483,876,283"
896285,"1,418,659,000,000",2022,"82,016,000,000","97,281,000,000"
956930,"467,613,930,767",2022,"16,672,741,081","17,516,003,132"
983040,"1,339,020,434,490",2022,"14,487,192,387","438,303,692,552"
992871,"503,593,995,766",2022,"109,906,061,531","97,165,066,944"
1009789,"952,203,952,001",2022,"53,100,853,848","6,169,680,858"
1032413,"212,318,527,504",2022,"204,416,060,360","205,309,781,207"
1036446,"1,173,445,901,645",2022,"150,682,128,141","116,258,303,926"
877059,"7,597,575,863,329",2022,"983,627,394,377","1,009,024,573,715"
508344,"1,494,509,955,164",2022,"64,346,246,785","113,722,926,342"
1060744,"1,467,471,503,690",2022,"130,225,532,966","95,828,130,869"
565154,"1,416,175,662,135",2022,"136,891,845,495","142,921,691,148"
1168383,"457,585,976,912",2022,"-73,481,142,189","-119,823,395,577"
1208885,"672,626,336,234",2022,"25,271,267,744","31,034,292,001"
1238169,"732,455,081,520",2022,"466,654,503,027","486,728,116,441"
339391,"1,926,675,685,540",2022,"24,022,201,122","-57,019,441,190"
1263022,"1,983,607,627,851",2022,"252,407,573,570","254,068,774,008"
1267170,"1,236,777,050,588",2022,"230,480,673,367","236,700,717,561"
1262032,"417,980,301,556",2022,"34,251,438,232","36,254,944,453"
1316236,"3,016,501,814,422",2022,"-336,727,239,866","-448,250,891,421"
1316227,"2,804,355,654,281",2022,"123,593,507,716","30,658,603,776"
1316245,"3,590,259,543,651",2022,"143,248,629,974","59,841,661,132"
1316254,"2,135,155,968,289",2022,"315,070,313,327","213,162,004,331"
362441,"1,129,055,501,093",2022,"142,362,193,871","154,786,545,251"
148364,"8,209,604,806,659",2022,"941,306,774,707","616,005,224,415"
265324,"5,987,918,870,682",2022,"137,375,904,912","-327,580,418,493"
260958,"176,685,884,361",2022,"15,223,887,429","9,894,682,747"
228536,"113,418,150,237",2022,"15,696,393,563","15,686,285,793"
127954,"1,080,671,194,761",2022,"97,840,086,516","68,875,818,033"
347062,"46,810,705,161",2022,"9,054,708,903","6,844,226,328"
871833,"229,549,274,594",2022,"17,851,415,161","19,237,033,364"
126937,"2,024,270,000,000",2022,"132,324,000,000","126,664,000,000"
150244,"2,172,409,936,540",2022,"190,571,249,139","121,380,678,145"
145109,"464,921,702,703",2022,"36,028,967,211","94,926,373,488"
148993,"2,779,584,712,819",2022,"202,502,517,207","110,076,574,030"
129387,"287,461,316,451",2022,"19,854,394,322","10,671,560,929"
109286,"1,241,782,449,283",2022,"88,279,120,517","57,555,933,360"
104768,"449,261,889,191",2022,"28,462,568,691","13,296,874,869"
163691,"79,255,169,817",2022,"29,646,246,718","43,546,308,479"
114792,"3,164,636,526,811",2022,"743,493,091,943","547,679,373,077"
138190,"1,012,698,524,738",2022,"70,467,603,982","61,122,260,907"
149354,"577,829,023,460",2022,"-32,878,294,931","-24,708,272,309"
128971,"748,120,988,544",2022,"81,072,831,792","84,339,671,528"
138701,"1,317,598,873,795",2022,"232,577,852,131","210,386,129,580"
114552,"255,273,456,899",2022,"11,939,896,822","2,914,383,294"
103006,"805,246,239,566",2022,"133,503,465,388","112,085,847,739"
173874,"2,348,104,911,877",2022,"-54,253,533,449","-40,312,984,401"
105271,"7,567,347,802,320",2022,"467,661,528,938","111,953,952,629"
132211,"373,988,182,288",2022,"-17,708,726,754","-17,208,554,984"
124197,"1,591,270,344,983",2022,"567,163,868,807","531,476,493,894"
146269,"272,298,156,963",2022,"-16,000,918,451","161,202,685,885"
153393,"702,185,269,043",2022,"-122,074,282,364","-45,552,759,314"
162993,"1,220,879,131,264",2022,"132,506,014,100","127,641,079,488"
141149,"113,212,626,317",2022,"-7,363,158,868","-22,812,771,530"
