회사명,corp_code,stock_code,연도,ESG,자산총계,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름,자산총계(t-1),매출액(t-1)
한진,00163512,002320,2022,B+,4093197691709.0,2558814752905.0,114501782947.0,38290826956.0,383248175213.0,18.24,5.47,21.73913043478261,27.45,1479.0,31.0,398600375197.561,2849420869433.0,182433348764.0,3877620716229.0,2504131193753.0
한독,00161046,002390,2022,B+,871106170067.0,489250127554.0,28496185960.0,7316158114.0,82738517030.0,51.5,146.2,15.789473684210526,43.38,926.0,38.0,258606154698.98373,543759151916.0,30519188794.0,841561831887.0,517641069438.0
아모레퍼시픽그룹,00154462,002790,2022,A,7651003801454.0,1117500460491.0,271900712401.0,288378389515.0,856377167180.0,34.9,23.3,36.36363636363637,61.95,87.0,1.0,3148796329682.927,4494956806652.0,183450194815.0,8038142932125.0,5326080007289.0
TYM,00117230,002900,2022,B+,782128426554.0,447666197323.0,122015643800.0,122780246484.0,17986256685.0,8.9,10.9,27.27272727272727,31.57,926.0,231.0,357016284211.17883,1166138766862.0,20674187046.0,707428247565.0,841455916467.0
삼양식품,00126955,003230,2022,B+,924929490964.0,470165749462.0,90375676138.0,101955896513.0,53570396040.0,13.0,13.3,12.12121212121212,46.14,1567.0,359.0,772170783914.6342,909036571591.0,47787143112.0,753080320659.0,642030314159.0
쌍용씨앤이,00138224,003410,2022,B+,3874346066243.0,2281205119386.0,220871335735.0,171177682136.0,358117054730.0,173.0,118.8,57.14285714285714,77.98,42.0,87.0,3552578822502.439,1965042623424.0,228138187208.0,3564764921137.0,1661398330069.0
대한항공,00113526,003490,2022,A,28997701022484.0,19705240815659.0,2830586753727.0,2562134998034.0,873754516459.0,16.0,,10.344827586206897,28.6,1358.0,338.0,9564398096465.447,14096094819146.0,5572422138746.0,26671903184202.0,9016824640301.0
LG,00120021,003550,2022,A,29633677000000.0,3399491000000.0,1941380000000.0,2045618000000.0,151088.0,23.97,17.5,15.384615384615383,41.70,189.0,8.0,12280987282756.098,7185987000000.0,641024000000.0,25669796000000.0,6859010000000.0
롯데정밀화학,00157681,004000,2022,A,2709845870581.0,415627340272.0,404310707357.0,160079935956.0,22605388847.0,61.0,10.0,20.0,32.22,908.0,9.0,1820190000000.0,2463759308094.0,637910729053.0,2723453687435.0,1780293056795.0
현대제철,00145880,004020,2022,A,36800955829773.0,17672412852352.0,1616457125289.0,1348558027452.0,1328067733506.0,12.9,9.0,55.55555555555556,35.97,306.0,385.0,4834236300387.195,27340601237802.0,2179616640426.0,37042298365641.0,22849920977857.0
한솔홀딩스,00171636,004150,2022,A,723295784000.0,125962865000.0,19097970000.0,57651446000.0,17531752000.0,10.5,23.3,27.27272727272727,30.28,40.0,2.0,140247171213.65854,467211080000.0,43422778000.0,653696785000.0,413644137000.0
신세계,00136378,004170,2022,A,14348412322688.0,8096632950057.0,645448993543.0,521874825260.0,620528799164.0,9.08,9.62,57.14285714285714,28.57,830.0,5.0,2313677566591.4634,7812755198909.0,903136486956.0,13644510517083.0,6316435934254.0
현대비앤지스틸,00125743,004560,2022,C,857843841402.0,333016274702.0,33466461486.0,33048654435.0,27577866622.0,5.85,2.18,30.0,46.1,482.0,26.0,216086717147.56097,1281157155278.0,-49052610344.0,768751882611.0,855704014920.0
한솔테크닉스,00157399,004710,2022,B+,1071921900693.0,631895650677.0,55104959837.0,36348453753.0,156143039888.0,0.96,,20.0,22.42,578.0,32.0,194246487985.69107,1647391648302.0,66408680650.0,788670352792.0,1490620987769.0
효성,00117188,004800,2022,B+,5267284720508.0,2369980096744.0,64887143335.0,20858603953.0,66625895758.0,572.5,29.7,11.76470588235294,55.17,1210.0,100.0,1664405404024.39,3719325523137.0,168209187483.0,5255421959967.0,3536522769098.0
롯데지주,00120562,004990,2022,A,22175416666050.0,12409157931313.0,489830602915.0,499860555981.0,1097145210930.0,62.9,34.8,11.11111111111111,41.7,281.0,13.0,3567297872281.7075,14111852309175.0,904140865036.0,19921883103681.0,9924864014193.0
빙그레,00124726,005180,2022,A,769266587599.0,193497612928.0,39407655268.0,36724028656.0,57227486327.0,51.6,,12.5,40.89,343.0,211.0,468638751734.1464,1267685822673.0,-11243839111.0,760245280571.0,1147435118625.0
롯데칠성음료,00120571,005300,2022,B+,3695935640310.0,2283769460026.0,222858437341.0,169386857154.0,97987983130.0,25.8,22.0,11.627906976744184,67.50,960.0,661.0,1521076892788.618,2841747049867.0,268333994992.0,3596830123178.0,2506093270200.0
현대자동차,00164742,005380,2022,B+,255742462000000.0,164845917000000.0,9819769000000.0,10947943000000.0,6102377.0,24.9,26.3,54.54545454545454,29.38,64840.0,7849.0,38644844756493.91,142527535000000.0,10627311000000.0,233946415000000.0,117610626000000.0
SK디스커버리,00131832,006120,2022,A,11780098492498.0,5826776624464.0,362228951564.0,539051827627.0,873009223750.0,7.9,14.0,15.789473684210526,47.48,51.0,16.0,699838514868.9025,8717115148765.0,82330270613.0,6881873214685.0,6614328160700.0
LS,00105952,006260,2022,C,16813978000000.0,11259315000000.0,670941000000.0,657920000000.0,633146.0,9.46,14.49,25.0,33.23,80.0,2.0,1929172682926.829,17491338000000.0,467114000000.0,12625931000000.0,12829274000000.0
GS건설,00120030,006360,2022,A,16946616696898.0,11590413888307.0,554834830515.0,664897622799.0,888334065674.0,32.5,27.0,8.0,23.71,2259.0,561.0,2849324384034.5527,12299196214752.0,-7296047422.0,15183727264768.0,9036575422803.0
삼성SDI,00126362,006400,2022,A,30257525171127.0,13040023014999.0,1808013013202.0,2652275388730.0,814931162728.0,3.5,5.7,57.14285714285714,20.54,400.0,935.0,41356833244024.39,20124069515854.0,2641096163726.0,25833192996936.0,13553220248796.0
GS리테일,00140177,007070,2022,A,9832423124845.0,5412417744683.0,245131973064.0,75063718353.0,255084775192.0,108.7,15.0,57.14285714285714,57.90,3413.0,1230.0,2825063923776.829,11226428523558.0,712510440356.0,9455972982478.0,9690659322385.0
오뚜기,00141529,007310,2022,C,3569760859068.0,1622240967893.0,185656436842.0,283520143943.0,72349255656.0,11.27,21.02,33.33333333333333,50.01,3073.0,49.0,1690338716160.569,3183314853660.0,93291314126.0,2605839008802.0,2739036859209.0
대덕,00109189,008060,2022,B+,1903351069081.0,419083389342.0,196865725672.0,187799491185.0,31292732238.0,72.9,-453.4,16.666666666666664,43.37,13.0,0.0,235430463575.20325,1661906969216.0,5524446874.0,1723958191276.0,1371708882418.0
호텔신라,00165680,008770,2022,A,2938544987435.0,2398761037870.0,78346330937.0,-59647312581.0,35308105036.0,-15.17,28.12,18.181818181818183,17.00,1642.0,431.0,2951442744679.268,4922008727369.0,220460436820.0,2656449911686.0,3779129065561.0
한미사이언스,00161426,008930,2022,B+,1109690934182.0,384942964397.0,67626014492.0,73179718929.0,19126765953.0,19.3,30.7,15.789473684210526,64.98,419.0,9.0,2827562285771.3413,1046054210838.0,9451693037.0,949894435974.0,950164817343.0
삼성전기,00126371,009150,2022,A,10997170898641.0,3303686219356.0,1182835924271.0,1186828087730.0,150053392512.0,16.2,17.8,57.14285714285714,23.85,1549.0,830.0,10971319774048.78,9424551868027.0,1575355826731.0,9941374038447.0,9675036127726.0
무림페이퍼,00136086,009200,2022,B,2429133745988.0,1739726817209.0,96311787654.0,41592516874.0,8588477863.0,13.7,,18.75,54.06,415.0,0.0,110867668207.92683,1399139266935.0,41882935462.0,2284417094845.0,1055273254820.0
한샘,00161693,009240,2022,A,1099679540571.0,654251595301.0,-21690245389.0,-83461021812.0,24265356719.0,,47.2,50.0,0.52,2174.0,41.0,1468584073661.7886,2000906065724.0,-21278605775.0,1246352553431.0,2231220949302.0
무림P&P,00119007,009580,2022,B+,1604057802775.0,941368622014.0,68291305211.0,54964533741.0,2071392165.0,20.8,41.9,16.666666666666664,66.97,693.0,3.0,278711616997.1545,774103601234.0,51495368399.0,1483591838656.0,613699105829.0
한화솔루션,00162461,009830,2022,B,23831697412977.0,13934785853643.0,966247380110.0,569238863544.0,37913714177.0,,,4.580152671755725,36.67,1794.0,194.0,7807894940956.098,13653948104906.0,115716723309.0,20007572194182.0,10725192384822.0
영원무역홀딩스,00140964,009970,2022,C,5490219711184.0,1503556312790.0,1002198707249.0,1083402103654.0,183062884234.0,8.0,10.5,11.11111111111111,46.25,39.0,8.0,706390180682.9269,4533879205529.0,519228688003.0,4325576166733.0,3240513827424.0
OCI,00148896,010060,2022,A,6745534254000.0,2734136888000.0,976672782000.0,1001629603000.0,35921134.0,6.69,7.36,57.14285714285714,22.24,1691.0,90.0,2554122211106.0977,4671316051000.0,566649863000.0,5704061113000.0,3243996752000.0
엘에스일렉트릭,00105855,010120,2022,A,3322804977898.0,1773513972232.0,187524016869.0,126966694511.0,86299342611.0,35.76,34.61,12.12121212121212,48.25,1349.0,139.0,1540682926829.2683,3377070215838.0,-145446470458.0,2796731557614.0,2668264980253.0
한솔피엔에스,00103626,010420,2022,B,134944512348.0,83843135370.0,2686828469.0,2870110705.0,37913714177.0,27.2,14.8,25.0,46.07,262.0,1.0,37151498218.04878,314246057568.0,16724724090.0,109710673301.0,262943327014.0
현대미포조선,00164609,010620,2022,B+,4748245499000.0,2572981743000.0,-109066121000.0,-63247650000.0,8876191.0,,,10.344827586206897,43.00,56.0,66.0,3496107076007.317,3716860942000.0,208406771000.0,3878320283000.0,2887212251000.0
LG이노텍,00105961,011070,2022,A,9793617826430.0,5527824867091.0,1271751532028.0,1135062357037.0,204486013967.0,10.0,8.0,8.695652173913043,40.79,2354.0,4751.0,7950704835719.512,19589409483381.0,1514999766762.0,7741352841297.0,14945609219058.0
롯데케미칼,00165413,011170,2022,A,26784587810580.0,9520345523797.0,-762606983916.0,-392619240018.0,877896301156.0,427.63,20.12,5.555555555555555,54.92,734.0,154.0,6411244990144.309,22276082763692.0,-167465442693.0,22855160814019.0,18120462422756.0
HMM,00164645,011200,2022,A,25973455000000.0,5285543000000.0,9951555000000.0,10183729000000.0,44210.0,5.8,5.5,9.090909090909092,20.69,1677.0,108.0,12128577093886.18,18582770000000.0,11318868000000.0,17876100000000.0,13794148000000.0
현대위아,00106623,011210,2022,A,7546451000000.0,3812800000000.0,212115000000.0,86063000000.0,109261.0,28.4,29.8,62.5,40.75,2833.0,84.0,1731060999700.2034,8207614000000.0,423981000000.0,7749507000000.0,7527739000000.0
현대코퍼레이션,00164812,011760,2022,B,1831301801553.0,1394707519478.0,66827508014.0,90537641434.0,9750486134.0,9.16,19.1,14.285714285714285,24.31,213.0,11.0,224118043502.43903,6126968751169.0,386453058403.0,1707383175608.0,3782497523034.0
SKC,00139889,011790,2022,A,6393092564908.0,4151241803700.0,220255942998.0,159297081484.0,1523593341383.0,-54.7,17.4,19.047619047619047,40.90,168.0,9.0,4928066388953.658,3138910077125.0,-147158687779.0,6180132503610.0,2264207086420.0
현대모비스,00164788,012330,2022,A,55406698000000.0,17599066000000.0,2026531000000.0,3362612000000.0,965065.0,14.8,15.5,5.747126436781609,31.38,112.0,531.0,20259862241280.49,51906293000000.0,2154062000000.0,51482537000000.0,41702184000000.0
한화에어로스페이스,00126566,012450,2022,B+,15157301978809.0,11233518424948.0,377215126599.0,174616406341.0,2120601843523.0,25.18,14.01,5.0,33.98,235.0,161.0,2987633079268.2925,6539605817572.0,1524327091276.0,11045830630560.0,5541389141271.0
에스원,00158501,012750,2022,B+,2075658595502.0,552669332935.0,204138904290.0,200760270160.0,405722224361.0,56.0,65.5,5.555555555555555,25.65,938.0,590.0,2470456315070.732,2467960276573.0,277448190365.0,1972972502257.0,2312489059004.0
한솔케미칼,00140955,014680,2022,B,1253310602636.0,400814014226.0,185990108464.0,194237859330.0,37913714177.0,13.7,15.8,18.75,15.02,558.0,94.0,2480057725548.7803,885470791861.0,173619763063.0,1197174769029.0,768688180555.0
SK텔레콤,00159023,017670,2022,A,31308262000000.0,19153066000000.0,1612070000000.0,1236152000000.0,3324910.0,79.3,29.8,62.5,30.02,929.0,270.0,11801155507856.91,17304973000000.0,5159317000000.0,30911277000000.0,16748585000000.0
현대엘리베이터,00164724,017800,2022,B,3014471063421.0,1847719039348.0,43016096622.0,110105864213.0,92025543651.0,25.4,28.9,57.14285714285714,26.50,179.0,127.0,1281248575037.805,2129301101267.0,12288109953.0,2987393730479.0,1973426415772.0
