회사명,corp_code,stock_code,연도,ESG,자산총계,자산총계(t-1),매출액,매출액(t-1),부채총계,EBITDA,EBITDA(t-1),무형자산,현금 배당 성향,현금 배당 성향(t-1),사외이사 비율,최대주주지분율,영업활동 현금흐름,정규직 수,정규직 수(t-1),비정규직 수,비정규직 수(t-1)
오리온홀딩스,00117577,001800,2022,A,5102168431194.0,4961788340261.0,2934623360638.0,2415059149467.0,977214307936.0,421165629185.0,320020107452.0,354603353874.0,40.9,38.5,60.0,63.84,530055129168.0,8.0,11.0,0.0,1.0
한진,00163512,002320,2022,B+,4093197691709.0,3877620716229.0,2849420869433.0,2504131193753.0,2558814752905.0,38290826956.0,215924548723.0,383248175213.0,18.24,5.47,21.73913043478261,27.45,182433348764.0,1479.0,1352.0,31.0,137.0
한독,00161046,002390,2022,B+,871106170067.0,841561831887.0,543759151916.0,517641069438.0,489250127554.0,7316158114.0,4768296110.0,82738517030.0,51.5,146.2,15.789473684210526,43.38,30519188794.0,926.0,922.0,38.0,42.0
아모레퍼시픽그룹,00154462,002790,2022,A,7651003801454.0,8038142932125.0,4494956806652.0,5326080007289.0,1117500460491.0,288378389515.0,429574176402.0,856377167180.0,34.9,23.3,36.36363636363637,61.95,183450194815.0,87.0,91.0,1.0,1.0
TYM,00117230,002900,2022,B+,782128426554.0,707428247565.0,1166138766862.0,841455916467.0,447666197323.0,122780246484.0,34069591538.0,17986256685.0,8.9,10.9,27.27272727272727,31.57,20674187046.0,926.0,534.0,231.0,83.0
삼양식품,00126955,003230,2022,B+,924929490964.0,753080320659.0,909036571591.0,642030314159.0,470165749462.0,101955896513.0,72127163112.0,53570396040.0,13.0,13.3,12.12121212121212,46.14,47787143112.0,1567.0,1757.0,359.0,69.0
쌍용씨앤이,00138224,003410,2022,B+,3874346066243.0,3564764921137.0,1965042623424.0,1661398330069.0,2281205119386.0,171177682136.0,190976286383.0,358117054730.0,173.0,118.8,57.14285714285714,77.98,228138187208.0,1072.0,1023.0,87.0,112.0
대한항공,00113526,003490,2022,A,28997701022484.0,26671903184202.0,14096094819146.0,9016824640301.0,19705240815659.0,2562134998034.0,843114021846.0,873754516459.0,16.0,,10.344827586206897,28.6,5572422138746.0,1358.0,1411.0,338.0,232.0
LG,00120021,003550,2022,A,29633677000000.0,25669796000000.0,7185987000000.0,6859010000000.0,3399491000000.0,2045618000000.0,2390985000000.0,151088.0,23.97,17.5,15.384615384615383,41.70,641024000000.0,189.0,183.0,8.0,3.0
롯데정밀화학,00157681,004000,2022,A,2709845870581.0,2723453687435.0,2463759308094.0,1780293056795.0,415627340272.0,160079935956.0,746852368299.0,22605388847.0,61.0,10.0,20.0,32.22,637910729053.0,908.0,846.0,9.0,39.0
