회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름
아모레퍼시픽그룹,00154462,002790,2022,A,"7,651,003,801,454","1,117,500,460,491","271,900,712,401","288,378,389,515",856377167180.0,34.9,23.3,36.36363636363637,61.95,87.0,1.0,3148796329682.927,4494956806652,183450194815.0
TYM,00117230,002900,2022,B+,"782,128,426,554","447,666,197,323","122,015,643,800","122,780,246,484",17986256685.0,8.9,10.9,27.27272727272727,31.57,926.0,231.0,357016284211.17883,1166138766862,20674187046.0
삼양식품,00126955,003230,2022,B+,"924,929,490,964","470,165,749,462","90,375,676,138","101,955,896,513",53570396040.0,13.0,13.3,12.12121212121212,46.14,1567.0,359.0,772170783914.6342,909036571591,47787143112.0
쌍용씨앤이,00138224,003410,2022,B+,"3,874,346,066,243","2,281,205,119,386","220,871,335,735","171,177,682,136",358117054730.0,173.0,118.8,57.14285714285714,77.98,42.0,87.0,3552578822502.439,1965042623424,228138187208.0
대한항공,00113526,003490,2022,A,"28,997,701,022,484","19,705,240,815,659","2,830,586,753,727","2,562,134,998,034",873754516459.0,16.0,,10.344827586206897,28.6,1358.0,338.0,9564398096465.447,14096094819146,5572422138746.0
LG,00120021,003550,2022,A,"29,633,677,000,000","3,399,491,000,000","1,941,380,000,000","2,045,618,000,000",151088.0,23.97,17.5,15.384615384615383,41.70,189.0,8.0,12280987282756.098,7185987000000,641024000000.0
롯데정밀화학,00157681,004000,2022,A,"2,709,845,870,581","415,627,340,272","404,310,707,357","160,079,935,956",22605388847.0,61.0,10.0,20.0,32.22,908.0,9.0,1820190000000.0,2463759308094,637910729053.0
현대제철,00145880,004020,2022,A,"36,800,955,829,773","17,672,412,852,352","1,616,457,125,289","1,348,558,027,452",1328067733506.0,12.9,9.0,55.55555555555556,35.97,306.0,385.0,4834236300387.195,27340601237802,2179616640426.0
한솔홀딩스,00171636,004150,2022,A,"723,295,784,000","125,962,865,000","19,097,970,000","57,651,446,000",17531752000.0,10.5,23.3,27.27272727272727,30.28,40.0,2.0,140247171213.65854,467211080000,43422778000.0
신세계,00136378,004170,2022,A,"14,348,412,322,688","8,096,632,950,057","645,448,993,543","521,874,825,260",620528799164.0,9.08,9.62,57.14285714285714,28.57,830.0,5.0,2313677566591.4634,7812755198909,903136486956.0
