corp_code,부채총계,year
129679,"958,895,150,180",2022
164672,"285,245,441,672",2022
125080,"3,721,996,781,791",2022
124799,"523,375,978,943",2022
107613,"323,686,082,261",2022
126487,"706,086,461,437",2022
163114,"1,319,636,711,049",2022
140946,"171,990,567,169",2022
153861,"3,582,445,702,772",2022
101488,"500,314,843,682",2022
126478,"10,919,760,587,958",2022
166315,"647,757,403,677",2022
115977,"2,131,652,333,747",2022
106368,"2,065,857,046,026",2022
102618,"169,633,025,975",2022
143527,"136,105,199,735",2022
164636,"6,759,502,438,861",2022
166272,"926,620,108,676",2022
159786,"587,712,511,772",2022
105101,"971,855,140,000",2022
159193,"192,804,738,000,000",2022
130684,"818,373,686,144",2022
165583,"2,829,299,481,251",2022
159795,"181,165,801,047",2022
161125,"6,728,917,210,972",2022
133991,"340,157,547,667",2022
108913,"262,333,648,796",2022
176914,"44,071,595,509,884",2022
203290,"418,764,073,414",2022
122737,"3,056,338,000,000",2022
148276,"1,530,015,562,245",2022
105873,"24,366,792,000,000",2022
217947,"751,891,779,268",2022
158316,"2,058,288,743,565",2022
219486,"118,998,739,571",2022
261285,"52,014,242,784,013",2022
225159,"742,131,375,499",2022
222532,"802,491,626,000",2022
219574,"610,374,632,435",2022
340917,"1,187,905,520,148",2022
356361,"30,492,696,000,000",2022
159209,"273,089,488,378",2022
256955,"49,617,919,916",2022
377610,"2,915,366,415,560",2022
390055,"164,791,529,446",2022
413046,"1,617,448,041,462",2022
459871,"311,863,433,252",2022
481454,"3,450,429,792,209",2022
480455,"593,143,000,000",2022
400857,"79,356,396,676",2022
357935,"289,863,741,271",2022
555874,"1,357,023,834,316",2022
595191,"518,459,264,841",2022
414850,"111,070,179,540",2022
628189,"425,863,102,369",2022
679314,"410,505,252,005",2022
684714,"1,553,056,946,285",2022
776820,"1,399,319,640,332",2022
557508,"227,057,758,258",2022
194947,"61,835,339,210",2022
855093,"892,994,227,026",2022
241005,"131,310,107,999",2022
937324,"3,705,654,911,026",2022
939331,"1,463,836,379,752",2022
939687,"163,224,624,863",2022
983271,"1,032,762,862,400",2022
990165,"1,061,327,445,519",2022
101664,"96,840,886,918",2022
911955,"30,243,344,892",2022
1108099,"71,951,244,118",2022
1032486,"4,223,998,511,000",2022
1128613,"884,648,845,256",2022
904672,"3,313,765,261,202",2022
653024,"662,850,263,536",2022
