corp_code,법인세차감전 순이익,year
101488,"72,724,310,765",2022
126478,"-554,711,265,360",2022
166315,"95,109,032,046",2022
115977,"285,969,297,618",2022
106368,"1,251,576,092,191",2022
102618,"-29,426,360,818",2022
143527,"16,108,052,906",2022
164636,"133,502,475,796",2022
166272,"31,765,330,189",2022
159786,"141,266,703,137",2022
105101,"-6,857,913,000",2022
159193,"-33,843,619,000,000",2022
130684,"22,506,025,659",2022
165583,"193,801,839,282",2022
159795,"28,900,101,934",2022
161125,"97,168,085,854",2022
133991,"23,259,060,558",2022
108913,"-107,697,076,412",2022
176914,"744,926,029,245",2022
203290,"36,396,108,049",2022
122737,"687,967,000,000",2022
148276,"300,435,028,812",2022
105873,"-3,433,370,000,000",2022
217947,"-17,714,387,020",2022
158316,"107,785,938,003",2022
219486,"107,260,459,434",2022
261285,"1,945,247,668,119",2022
225159,"166,935,921,690",2022
222532,"-13,650,566,674",2022
219574,"-7,980,653,661",2022
340917,"118,562,121,878",2022
356361,"2,812,551,000,000",2022
159209,"25,735,584,512",2022
256955,"23,699,004,663",2022
377610,"207,816,045,297",2022
390055,"-18,589,860,783",2022
413046,"626,173,376,626",2022
459871,"48,517,368,798",2022
481454,"-84,043,708,970",2022
480455,"-28,410,000,000",2022
400857,"6,338,112,513",2022
357935,"19,184,280,925",2022
555874,"-217,242,937,743",2022
595191,"133,421,841,827",2022
414850,"19,589,651,370",2022
628189,"7,316,423,153",2022
679314,"55,772,698,025",2022
684714,"219,757,501,334",2022
776820,"881,755,852,631",2022
557508,"-25,055,610,545",2022
194947,"21,105,704,248",2022
855093,"41,638,288,840",2022
241005,"45,082,747,593",2022
937324,"858,353,826,334",2022
939331,"16,973,794,860",2022
939687,"7,810,959,621",2022
983271,"1,521,608,996",2022
990165,"82,912,383,689",2022
101664,"-614,836,349",2022
911955,"10,436,282,612",2022
1108099,"34,875,099,786",2022
1032486,"886,277,487,000",2022
1128613,"6,493,936,191",2022
904672,"-941,473,679,190",2022
653024,"-90,190,923,390",2022
1060814,"20,350,000,000",2022
1319808,"116,031,468,481",2022
1325979,"211,145,517,673",2022
118804,"210,963,962,073",2022
158325,"74,705,266,693",2022
252135,"135,068,830,067",2022
223762,"19,263,831,293",2022
130763,"-30,777,676,427",2022
298270,"16,542,117,754",2022
358271,"152,244,089,619",2022
398701,"340,535,961,422",2022
579980,"-18,875,585,054",2022
536541,"306,616,814,981",2022
486097,"36,030,646,306",2022
447609,"164,456,373,822",2022
554024,"229,572,580,126",2022
579999,"50,419,495,591",2022
525934,"303,970,572,150",2022
857727,"3,763,249,792",2022
549891,"34,457,008,420",2022
1135941,"117,338,639,677",2022
1234507,"24,438,337,913",2022
119195,"23,085,548,187",2022
144818,"-3,810,376,632",2022
111847,"11,612,336,520",2022
148984,"53,761,394,435",2022
128032,"1,058,097,387",2022
149026,"22,814,991,200",2022
151395,"-5,937,544,466",2022
166519,"44,905,273,596",2022
100939,"-19,952,330,091",2022
144252,"-10,749,945,690",2022
134723,"1,711,163,918",2022
149947,"45,361,952,269",2022
113243,"55,132,475,147",2022
106395,"-16,261,105,845",2022
122472,"24,356,045,399",2022
122579,"48,115,688,693",2022
113234,"34,383,267,000",2022
159740,"182,586,375,737",2022
152862,"256,632,640,481",2022
101433,"37,927,298,330",2022
127042,"20,015,230,734",2022
158112,"26,947,914,214",2022
138729,"121,519,996,836",2022
136457,"2,439,481,375",2022
174527,"29,474,012,146",2022
148443,"-83,860,626,307",2022
117300,"35,652,981,738",2022
104722,"4,745,086,347",2022
127167,"57,476,265,429",2022
158149,"36,329,376,659",2022
165343,"3,028,732,162",2022
152880,"162,131,408,382",2022
132725,"2,530,076,201",2022
111810,"154,932,220,132",2022
118275,"15,189,669,527",2022
111999,"38,722,020,221",2022
163673,"17,894,000,000",2022
164706,"5,669,707,339",2022
133812,"65,902,605,150",2022
109806,"-8,058,464,687",2022
129235,"-16,565,360,314",2022
133858,"70,432,022,975",2022
113492,"-2,675,629,050",2022
172936,"28,752,143,279",2022
148920,"-10,204,999,539",2022
129989,"35,572,341,513",2022
163716,"3,681,179,259",2022
168331,"8,470,363,942",2022
121288,"3,879,112,788",2022
160302,"36,014,119,114",2022
156691,"6,806,481,075",2022
128412,"25,226,251,200",2022
127200,"24,450,805,580",2022
145163,"5,968,957,598",2022
153126,"39,811,042,495",2022
155531,"88,055,476,053",2022
143794,"7,691,933,502",2022
111421,"13,022,727,799",2022
113535,"184,983,722,550",2022
145552,"32,909,588,468",2022
118026,"405,754,467,887",2022
126779,"21,047,030,875",2022
159254,"31,896,632,206",2022
108977,"-18,433,021,662",2022
159810,"-177,047,403,644",2022
260383,"-204,385,808,134",2022
141404,"10,009,646,618",2022
122898,"15,539,807,487",2022
124090,"32,334,910,921",2022
130091,"14,191,541,151",2022
104388,"97,677,168,367",2022
152686,"99,531,662,792",2022
154329,"31,607,745,595",2022
137252,"-2,691,294,414",2022
131692,"51,945,894,785",2022
145260,"-5,652,089,074",2022
103042,"30,673,744,913",2022
138260,"95,618,433,988",2022
136864,"25,473,676,434",2022
103592,"36,290,716,419",2022
153621,"2,510,062,719",2022
162586,"1,929,429,576",2022
159971,"-3,555,368,377",2022
151128,"28,900,103,260",2022
160205,"1,037,986,567",2022
102858,"881,480,750,499",2022
141273,"-5,027,218,767",2022
155124,"-12,610,658,612",2022
139764,"-22,814,475,314",2022
129013,"6,675,009,145",2022
137207,"-2,473,082,608",2022
138297,"-19,571,000,000",2022
136271,"47,492,815,899",2022
163345,"11,069,816,097",2022
141477,"-2,245,507,060",2022
172291,"31,255,042,674",2022
173102,"2,891,923,591",2022
146232,"4,847,386,052",2022
117179,"14,873,303,263",2022
140779,"7,495,671,345",2022
105156,"26,370,746,670",2022
124780,"10,414,123,965",2022
132637,"78,694,794,137",2022
112679,"56,997,948,957",2022
153339,"40,219,504,737",2022
113614,"31,995,216,431",2022
161976,"100,275,158,654",2022
166573,"29,808,164,082",2022
108940,"13,922,485,247",2022
119672,"12,841,545,754",2022
161709,"10,869,233,948",2022
143651,"8,881,913,756",2022
121039,"2,652,206,377",2022
142883,"5,750,975,354",2022
152729,"9,576,480,512",2022
149239,"11,281,955,816",2022
137359,"-34,781,537,279",2022
118965,"2,327,531,270",2022
140131,"-2,457,881,428",2022
198697,"-3,627,403,567",2022
131197,"-1,061,379,310",2022
121534,"10,153,256,901",2022
159500,"6,710,644,912",2022
112022,"-8,982,446,378",2022
181943,"11,520,770,167",2022
145464,"5,164,140,309",2022
107987,"65,209,716,196",2022
133706,"2,194,853,255",2022
209780,"125,942,009,184",2022
231372,"-224,037,837,216",2022
158963,"53,424,815,313",2022
134510,"20,858,442,997",2022
121543,"-15,451,745,055",2022
130772,"177,557,965,489",2022
129642,"6,816,196,575",2022
369833,"1,281,667,707",2022
303217,"25,088,979,568",2022
159218,"134,599,664,565",2022
353878,"5,014,419,459",2022
398792,"118,909,596,673",2022
428729,"6,655,899,866",2022
435312,"14,268,749,588",2022
210856,"-1,679,235,726",2022
406046,"15,666,817,050",2022
414601,"46,874,164,082",2022
454946,"5,989,330,707",2022
113225,"195,770,968,238",2022
540641,"-15,764,824,874",2022
409672,"9,514,467,738",2022
573579,"5,027,429,431",2022
671376,"-150,165,866,513",2022
589127,"20,781,637,107",2022
587466,"47,202,821,846",2022
117726,"4,173,013,294",2022
593032,"223,766,942,606",2022
365387,"27,642,664,014",2022
632304,"70,994,753,228",2022
520887,"331,097,721",2022
648721,"16,998,520,736",2022
428321,"5,307,964,378",2022
145598,"6,893,915,535",2022
687711,"112,957,311,341",2022
728638,"130,434,715,182",2022
173944,"14,528,662,739",2022
753643,"-8,963,636,730",2022
670340,"1,737,792,056",2022
787376,"-204,319,222",2022
360142,"37,284,002,615",2022
823429,"-1,887,407,811",2022
815369,"11,225,538,003",2022
151368,"35,192,693,824",2022
661847,"-2,833,930,840",2022
119140,"-91,049,824,090",2022
526599,"118,394,778,992",2022
110608,"32,328,971,175",2022
1010110,"-292,362,991,025",2022
132354,"143,238,328,843",2022
1059605,"24,338,709,556",2022
1093007,"-5,071,643,305",2022
225706,"20,781,845,012",2022
1167056,"14,303,909,699",2022
1205329,"36,589,301,702",2022
1261893,"70,491,799,389",2022
1267684,"144,223,873,017",2022
248974,"30,718,350,878",2022
1310269,"120,922,439,218",2022
367844,"194,958,166,735",2022
1412822,"-36,717,061,962",2022
128111,"6,644,255,345",2022
141671,"16,621,293,551",2022
216647,"18,752,216,669",2022
238782,"780,363,530,784",2022
226352,"-37,698,233,195",2022
171265,"30,133,291,670",2022
258689,"94,120,580,393",2022
247975,"64,611,183,718",2022
239639,"37,802,018,416",2022
260930,"116,912,370,328",2022
187415,"-7,479,698,717",2022
280688,"15,914,681,967",2022
369170,"20,888,844,184",2022
306454,"8,778,095,691",2022
353610,"-282,498,198",2022
228350,"-10,514,840,539",2022
225742,"-15,177,455,650",2022
364467,"27,672,459,788",2022
378628,"32,602,361,124",2022
245472,"127,921,796,769",2022
399694,"82,573,184,139",2022
405320,"105,313,580,738",2022
104573,"-14,031,281,869",2022
476498,"1,771,536,976",2022
177816,"1,429,491,971",2022
531014,"59,182,009,132",2022
359395,"-43,007,161,843",2022
490151,"56,863,347,096",2022
524421,"54,269,567,471",2022
525642,"2,241,242,486",2022
444329,"-181,695,010,645",2022
613318,"55,998,444,737",2022
612294,"72,458,936,622",2022
888347,"73,086,582,121",2022
366137,"420,860,608,379",2022
1032404,"55,837,100,069",2022
1061327,"96,758,436,672",2022
970453,"54,048,007,703",2022
1067516,"148,132,972,221",2022
819073,"19,639,291,375",2022
1159853,"40,257,395,088",2022
1160363,"322,533,781,505",2022
1168684,"58,619,869,646",2022
1152470,"-55,803,077,266",2022
1237540,"101,870,110,991",2022
1236532,"2,578,992,030",2022
897752,"36,077,027,981",2022
1256864,"3,208,631,006",2022
112378,"-19,007,690,242",2022
101628,"1,648,315,655",2022
133335,"-12,903,336,535",2022
126089,"-18,358,311,104",2022
141307,"247,033,673,053",2022
104698,"-2,034,935,235",2022
145686,"-924,144,005",2022
123541,"-1,472,123,228",2022
147222,"104,628,170,242",2022
159573,"15,802,928,390",2022
112970,"-7,294,616,886",2022
120872,"8,220,332,260",2022
107066,"15,758,164,576",2022
126414,"-25,093,031,447",2022
152039,"-1,563,018,150",2022
101220,"536,429,472,790",2022
154055,"443,328,035",2022
125974,"-70,178,187,660",2022
117337,"-21,258,318,839",2022
118345,"45,423,822,076",2022
148948,"8,526,104,580",2022
148461,"2,591,245,143",2022
106119,"1,052,922,440",2022
114765,"9,997,683,949",2022
117027,"17,171,994,998",2022
129350,"33,284,110,768",2022
102751,"501,638,097",2022
116268,"-1,850,602,073",2022
163196,"-228,335,431",2022
122694,"-5,578,341,880",2022
133618,"-1,488,159,160",2022
127857,"23,526,198,120",2022
149345,"12,728,442,173",2022
141626,"-3,361,205,253",2022
118451,"3,926,032,933",2022
173698,"1,737,125,395",2022
123107,"3,389,049,721",2022
150828,"53,220,598,562",2022
121932,"87,825,424,725",2022
149804,"-101,924,208,873",2022
174004,"17,483,949,433",2022
106313,"56,601,104,790",2022
123718,"-1,032,872,379",2022
146214,"137,972,862,035",2022
160621,"4,023,641,802",2022
154426,"-113,911,783,324",2022
122348,"7,076,530,391",2022
122056,"31,753,667,550",2022
161860,"2,446,279,692",2022
133511,"3,054,888,352",2022
115287,"1,985,917,702",2022
108038,"30,677,676,867",2022
172185,"3,980,129,527",2022
134963,"181,100,000,000",2022
148939,"4,251,779,529",2022
135050,"89,960,299,524",2022
138057,"3,839,738,392",2022
114093,"3,800,508,429",2022
109514,"-19,815,211,403",2022
127158,"-935,886,756",2022
162063,"52,887,054,407",2022
135962,"19,826,537,702",2022
156488,"287,077,877,606",2022
124151,"-8,450,363,450",2022
136341,"111,337,470,424",2022
109754,"-1,678,372,050",2022
136624,"24,082,833,266",2022
115612,"23,183,204,489",2022
141875,"10,693,290,275",2022
260392,"1,895,538,151",2022
122825,"-7,403,032,094",2022
109824,"3,299,984,384",2022
126201,"45,071,312,000",2022
136402,"1,199,013,132",2022
109161,"12,038,183,504",2022
146296,"2,802,032,217",2022
104786,"-6,868,353,291",2022
146454,"41,331,403,889",2022
115384,"8,789,267,182",2022
131939,"-19,264,899,022",2022
157104,"11,294,581,428",2022
145446,"11,765,605,132",2022
107224,"30,446,567,757",2022
121570,"24,358,747,318",2022
146542,"-8,533,900,410",2022
104999,"-8,214,186,642",2022
138516,"13,692,775",2022
168401,"-19,191,898,741",2022
117629,"4,072,114,644",2022
102140,"4,100,351,759",2022
111111,"10,237,507,595",2022
111689,"-8,133,772,800",2022
163761,"1,033,412,012",2022
129271,"13,392,482,601",2022
128227,"-1,277,139,100",2022
143262,"-4,864,903,628",2022
160375,"3,314,275,705",2022
166500,"3,905,910,497",2022
148522,"4,592,986,349",2022
128980,"7,957,841,765",2022
118521,"-38,054,277,991",2022
129280,"-6,061,059,925",2022
153524,"26,050,229,408",2022
124027,"5,722,948,826",2022
129554,"4,390,396,917",2022
160861,"8,203,092,090",2022
162072,"-5,820,404,313",2022
145437,"-16,916,858,189",2022
141413,"386,444,352",2022
102113,"24,223,836,860",2022
112651,"5,077,396,552",2022
102432,"96,536,509,764",2022
129420,"-18,125,547,131",2022
156354,"13,290,403,896",2022
150633,"43,557,876,336",2022
129509,"11,174,807,494",2022
111458,"16,497,946,238",2022
105299,"60,336,884,239",2022
122481,"29,518,133,741",2022
132628,"2,703,228,431",2022
106881,"-10,591,551,409",2022
134565,"-5,021,732,071",2022
143314,"-30,357,952,707",2022
108746,"10,430,752,973",2022
146649,"36,038,036,470",2022
135777,"61,710,056,361",2022
103662,"6,419,400,070",2022
135111,"20,267,627,535",2022
118008,"22,045,104,764",2022
138792,"-7,699,984,635",2022
134316,"-24,319,204,148",2022
191588,"16,979,268,799",2022
115065,"12,948,368,022",2022
103510,"14,127,082,294",2022
180795,"17,186,133,631",2022
121969,"7,965,766,856",2022
142865,"-7,028,274,066",2022
177199,"44,413,864,214",2022
114154,"17,724,173,008",2022
191472,"37,404,807,384",2022
157070,"69,550,926,266",2022
197759,"8,059,369,506",2022
136776,"-19,511,265,960",2022
123781,"9,227,724,740",2022
144395,"129,336,420,914",2022
204208,"-1,709,026,471",2022
178754,"-28,208,506,435",2022
135795,"60,597,106,986",2022
118044,"8,642,567,888",2022
273615,"-14,400,245,631",2022
186559,"40,811,509,744",2022
218575,"52,203,504,803",2022
193009,"-106,872,456,441",2022
146861,"-43,052,838,464",2022
125576,"-4,513,274,020",2022
145862,"14,549,229,564",2022
122551,"54,825,366,823",2022
249247,"12,382,091,307",2022
161383,"127,844,021,017",2022
269241,"-5,739,911,122",2022
347734,"-1,239,035,438",2022
422895,"8,486,085,651",2022
423690,"4,582,058,487",2022
427483,"38,329,656,956",2022
357360,"-37,651,623,524",2022
151298,"33,010,683,469",2022
365989,"-12,983,265,323",2022
416654,"2,140,769,239",2022
469799,"-36,257,081,136",2022
305668,"-5,860,618,000",2022
415628,"16,641,864,543",2022
361488,"4,569,550,673",2022
508274,"1,861,334,390",2022
540605,"7,308,956,663",2022
172228,"10,508,709,657",2022
557933,"5,123,956,863",2022
442835,"-13,656,713,478",2022
585219,"-92,761,245,972",2022
112165,"15,137,287,825",2022
106614,"10,696,712,893",2022
441243,"8,288,093,361",2022
646732,"34,705,704,464",2022
652423,"-136,640,099,029",2022
681142,"-109,641,478,750",2022
683469,"27,728,684,638",2022
706715,"25,035,660,044",2022
226316,"38,800,723,016",2022
561866,"-8,213,595,668",2022
797364,"-19,244,340,300",2022
796994,"13,174,731,310",2022
828789,"-7,741,897,895",2022
855163,"20,938,722,745",2022
852087,"3,102,893,525",2022
415646,"105,543,183,337",2022
332927,"83,593,569,608",2022
105606,"-17,157,797,244",2022
816544,"-2,946,339,154",2022
1234297,"84,896,353,218",2022
1236897,"-13,246,645,256",2022
1262458,"31,069,283,692",2022
651901,"-153,133,369,491",2022
128546,"8,919,524,090",2022
130383,"30,498,487,923",2022
117276,"-8,904,827,977",2022
137915,"2,408,113,145",2022
141246,"70,906,639,426",2022
105466,"13,571,221,968",2022
184667,"-7,891,294,088",2022
173032,"57,432,543,663",2022
197476,"50,229,848,661",2022
158219,"9,812,066,060",2022
155948,"91,631,926,647",2022
227333,"83,877,723,664",2022
264547,"90,651,570,239",2022
301246,"71,388,920,625",2022
141389,"19,506,213,533",2022
265041,"22,700,882,769",2022
246417,"100,770,243,229",2022
263654,"-27,983,021,370",2022
230425,"5,508,274,307",2022
405278,"38,350,134,733",2022
313649,"-16,612,741,978",2022
369657,"154,075,514,572",2022
375931,"28,972,541,204",2022
523307,"-169,981,377,034",2022
541349,"30,468,673,930",2022
525679,"-71,302,408,963",2022
114808,"68,632,496,823",2022
580199,"49,526,136,526",2022
556907,"-31,318,339,188",2022
181299,"8,851,672,493",2022
545734,"-50,571,006,364",2022
545929,"-57,131,835,253",2022
411048,"16,541,478,096",2022
530185,"63,819,436,162",2022
693554,"311,910,286,090",2022
623661,"76,694,813,371",2022
808022,"-35,909,597,525",2022
842619,"-47,722,617,786",2022
838005,"15,179,648,474",2022
989619,"-9,969,855,067",2022
1074862,"134,308,390,458",2022
1078178,"3,959,367,755",2022
1090471,"15,682,198,047",2022
1029394,"56,348,497,276",2022
1336373,"-35,753,227,225",2022
1182444,"-75,018,397,988",2022
1181515,"4,563,326,433",2022
104519,"-24,473,349,636",2022
107677,"-14,000,473,825",2022
167208,"19,003,192,145",2022
150439,"5,476,287,811",2022
132868,"-8,290,315,629",2022
134176,"2,364,372,560",2022
159564,"1,721,453,110",2022
480950,"-101,105,095,340",2022
458234,"12,393,035,469",2022
110750,"-18,285,393,119",2022
161781,"58,453,481,071",2022
306162,"63,203,066,812",2022
788773,"225,559,426,245",2022
1061558,"44,786,652,810",2022
536523,"2,438,272,804",2022
106641,"6,393,781,000,000",2021
138279,"1,878,020,000,000",2021
155355,"13,508,680,000",2021
190321,"1,978,411,000,000",2021
181712,"5,982,328,000,000",2021
266961,"2,126,399,871,701",2021
124504,"488,700,366,000",2021
631518,"818,466,254,000",2021
113410,"239,190,286,694",2021
117212,"592,868,442,297",2021
109693,"717,852,472,556",2021
146083,"-176,529,334,040",2021
160047,"227,739,759,554",2021
113508,"26,768,754,927",2021
116824,"66,104,527,975",2021
164779,"13,415,987,000,000",2021
164478,"854,101,000,000",2021
160588,"3,216,454,000,000",2021
160843,"420,439,748,913",2021
148540,"1,300,849,491,000",2021
120076,"734,696,920,486",2021
113207,"22,601,871,000",2021
121941,"184,335,978,295",2021
131780,"107,133,000,000",2021
117577,"320,020,107,452",2021
163512,"215,924,548,723",2021
161046,"4,768,296,110",2021
154462,"429,574,176,402",2021
117230,"34,069,591,538",2021
126955,"72,127,163,112",2021
138224,"190,976,286,383",2021
113526,"843,114,021,846",2021
120021,"2,390,985,000,000",2021
157681,"746,852,368,299",2021
145880,"2,149,117,231,890",2021
171636,"29,298,390,000",2021
136378,"517,574,567,042",2021
125743,"96,862,258,621",2021
157399,"-6,570,564,868",2021
117188,"636,490,109,238",2021
120562,"69,499,112,210",2021
124726,"-11,799,483,856",2021
120571,"174,970,080,587",2021
164742,"7,959,562,000,000",2021
131832,"364,742,064,220",2021
105952,"391,921,000,000",2021
120030,"657,929,791,442",2021
126362,"1,663,335,322,229",2021
140177,"915,289,689,988",2021
141529,"162,900,876,905",2021
109189,"69,763,258,655",2021
165680,"47,916,842,855",2021
161426,"49,122,187,846",2021
126371,"1,491,308,954,867",2021
136086,"3,035,497,646",2021
161693,"83,345,802,435",2021
119007,"25,987,829,306",2021
162461,"855,338,282,753",2021
140964,"606,159,339,416",2021
148896,"611,952,710,000",2021
105855,"110,749,601,994",2021
103626,"5,432,072,370",2021
164609,"-209,773,787,000",2021
105961,"1,193,179,599,822",2021
165413,"1,887,483,719,887",2021
164645,"5,327,233,000,000",2021
106623,"100,720,000,000",2021
164812,"56,220,688,847",2021
139889,"393,059,402,657",2021
164788,"3,194,542,000,000",2021
126566,"289,364,425,275",2021
158501,"170,743,106,951",2021
140955,"208,702,123,405",2021
159023,"1,718,191,000,000",2021
164724,"160,509,325,060",2021
139454,"20,451,724,766",2021
126186,"857,541,761,347",2021
144164,"300,712,114,361",2021
188089,"154,631,491,902",2021
170558,"658,552,414,204",2021
120526,"-638,240,714,552",2021
203582,"7,905,612,254",2021
219097,"43,537,431,399",2021
126308,"529,538,450,784",2021
149655,"2,480,491,197,710",2021
234412,"105,407,715,079",2021
274933,"5,210,766,401",2021
231363,"905,193,000,000",2021
244455,"1,439,553,489,358",2021
255619,"-14,159,218,402",2021
258801,"2,293,693,668,438",2021
261443,"491,328,032,737",2021
260408,"18,808,996,315",2021
220561,"70,742,345,220",2021
160232,"57,260,015,068",2021
124540,"598,393,080,997",2021
309503,"54,405,791,113",2021
356370,"1,187,364,858,585",2021
349097,"81,899,491,281",2021
413523,"20,842,434,273",2021
412597,"178,229,661,314",2021
372882,"22,770,966,020",2021
372873,"32,751,539,117",2021
302926,"35,281,589,000",2021
401731,"3,838,896,000,000",2021
