,tag,제 49 기,제 48 기,제 48 기초
0,자산총계,902896419890,719110524869,589444547288
1,부채총계,380906101431,247508235172,136525967184
2,무형자산,5841616640,652915052,761924184
3,영업이익(손실),62590109179,20481749724,
4,법인세비용차감전순이익,65209716196,24456579339,
