,tag,제 29 기,제 28 기,제 28 기초
0,자산총계,117303570494,117460183728,113893785695
1,부채총계,88372905690,106734301751,85519735577
2,영업권 이외의 무형자산,211571665,275160741,759924797
3,영업이익(손실),1052222165,"(35,456,269,910)",
4,법인세비용차감전순이익(손실),"(3,627,403,567)","(41,355,217,398)",
