,tag,제 23 기,제 22 기,제 21 기
0,자산총계,204164784861,186669511383.0,184455804956
1,부채총계,120343646929,102788774092.0,101282697082
2,무형자산,1431513742,1417549876.0,1257315642
3,영업이익(손실),848339698,"(848,992,713)",94319681
4,계속영업이익(손실),"(214,987,091)",268419549,"(1,466,137,049)"
5,중단영업이익(손실),,275131186,92348481
6,계속영업이익(손실),"(214,987,091)",268419549,"(1,481,295,034)"
7,중단영업이익(손실),,275131186,136420566
8,계속영업이익(손실),,,15157985
9,중단영업이익(손실),,,"(44,072,085)"
10,법인세비용차감전순이익(손실),1281667707,1576587443,"(1,937,566,482)"
