,tag,제 33 기,제 32 기,제 31 기
0,자산총계,1131933359194,1104860554018,801694287852
1,부채총계,739611151367,838039683427,541088884320
2,영업권 이외의 무형자산,18657182389,18521314457,17433756696
3,영업이익(손실),"(6,714,005,791)","(16,401,042,931)","(3,566,837,922)"
4,계속영업이익(손실),94546157588,"(29,152,270,603)","(62,280,613,272)"
5,중단영업이익(손실),0,0,"(380,457,150)"
6,계속영업이익(손실),77578672683,"(39,680,238,659)","(48,682,095,016)"
7,중단영업이익(손실),0,0,"(142,671,431)"
8,계속영업이익(손실),16967484905,10527968056,"(13,598,518,256)"
9,중단영업이익(손실),0,0,"(237,785,719)"
10,법인세비용차감전순이익(손실),83877723664,"(26,059,289,775)","(60,681,788,763)"
