,tag,제 23 기,제 22 기,제 22 기초,제 21 기
0,자산총계,429651956812,411224497266,283367945100,
1,부채총계,259874018775,178350975920,90634027344,
2,무형자산,17381091891,21207266172,21675240854,
3,영업이익,"(4,899,462,026)","(4,613,989,737)",,3102951479
4,법인세비용차감전순이익,"(50,571,006,364)",9663179302,,40814363877
