,tag,제 16 기,제 15 기,제 15 기초
0,자산총계,818655924091,403737992608,260701295701
1,부채총계,423815482608,97682643793,36151209798
2,무형자산,1093001395,1178994372,1200970118
3,영업이익,56473078225,50629174230,
4,법인세비용차감전순이익,36077027981,54942888636,
