,tag,제 86 기,제 85 기,제 84 기
0,자산총계,26315352623211,25945825422089,30171677076492
1,부채총계,16017536857154,17535706719844,22475159161948
2,무형자산,7890852550074,7581751614166,8219119611642
3,영업이익(손실),1126028726422,921057400974,"(50,839,649,222)"
4,계속영업이익(손실),"(497,235,802,546)",345513788410,"(844,457,648,869)"
5,중단영업이익(손실),"(83,932,915,238)",303301710751,"(127,770,982,486)"
6,보통주기본주당계속영업이익(손실) (단위 : 원),"(37,159)","(1,321)","(28,346)"
7,구형우선주기본주당계속영업이익(손실) (단위 : 원),"(37,112)","(1,326)","(27,759)"
8,보통주기본주당중단영업이익(손실) (단위 : 원),"(1,973)",12767,"(3,362)"
9,구형우선주기본주당중단영업이익(손실) (단위 : 원),"(1,970)",12822,"(3,293)"
10,보통주희석주당계속영업이익(손실) (단위 : 원),"(37,159)","(1,321)","(28,346)"
11,구형우선주희석주당계속영업이익(손실) (단위 : 원),"(37,112)","(1,326)","(27,759)"
12,보통주희석주당중단영업이익(손실) (단위 : 원),"(1,973)",12767,"(3,362)"
13,구형우선주희석주당중단영업이익(손실) (단위 : 원),"(1,970)",12822,"(3,293)"
14,법인세비용차감전순이익(손실),"(285,903,924,711)",592868442297,"(845,763,379,401)"
