,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 36 기,2022.12.31 현재,"40,571,384,951",제 35 기,2021.12.31 현재,"38,281,545,557",제 34 기,2020.12.31 현재,"33,170,549,003",1,KRW
1,재무상태표,비유동자산,제 36 기,2022.12.31 현재,"22,705,404,677",제 35 기,2021.12.31 현재,"24,173,688,122",제 34 기,2020.12.31 현재,"19,644,901,215",3,KRW
2,재무상태표,자산총계,제 36 기,2022.12.31 현재,"63,276,789,628",제 35 기,2021.12.31 현재,"62,455,233,679",제 34 기,2020.12.31 현재,"52,815,450,218",5,KRW
3,재무상태표,유동부채,제 36 기,2022.12.31 현재,"4,847,877,253",제 35 기,2021.12.31 현재,"7,379,710,913",제 34 기,2020.12.31 현재,"4,549,894,843",7,KRW
4,재무상태표,비유동부채,제 36 기,2022.12.31 현재,"780,119,676",제 35 기,2021.12.31 현재,"2,734,360,204",제 34 기,2020.12.31 현재,"2,778,544,386",9,KRW
5,재무상태표,부채총계,제 36 기,2022.12.31 현재,"5,627,996,929",제 35 기,2021.12.31 현재,"10,114,071,117",제 34 기,2020.12.31 현재,"7,328,439,229",11,KRW
6,재무상태표,자본금,제 36 기,2022.12.31 현재,"13,403,813,500",제 35 기,2021.12.31 현재,"13,400,313,500",제 34 기,2020.12.31 현재,"13,398,163,500",13,KRW
7,재무상태표,이익잉여금,제 36 기,2022.12.31 현재,"23,326,929,882",제 35 기,2021.12.31 현재,"17,910,378,846",제 34 기,2020.12.31 현재,"10,805,795,651",17,KRW
8,재무상태표,자본총계,제 36 기,2022.12.31 현재,"57,648,792,699",제 35 기,2021.12.31 현재,"52,341,162,562",제 34 기,2020.12.31 현재,"45,487,010,989",21,KRW
9,손익계산서,매출액,제 36 기,2022.01.01 ~ 2022.12.31,"35,200,667,312",제 35 기,2021.01.01 ~ 2021.12.31,"35,784,197,910",제 34 기,2020.01.01 ~ 2020.12.31,"29,443,386,126",23,KRW
10,손익계산서,영업이익,제 36 기,2022.01.01 ~ 2022.12.31,"4,380,965,003",제 35 기,2021.01.01 ~ 2021.12.31,"5,236,289,176",제 34 기,2020.01.01 ~ 2020.12.31,"3,403,054,085",25,KRW
11,손익계산서,법인세차감전 순이익,제 36 기,2022.01.01 ~ 2022.12.31,"5,508,274,307",제 35 기,2021.01.01 ~ 2021.12.31,"5,470,033,858",제 34 기,2020.01.01 ~ 2020.12.31,"2,114,928,711",27,KRW
12,손익계산서,당기순이익,제 36 기,2022.01.01 ~ 2022.12.31,"4,664,909,299",제 35 기,2021.01.01 ~ 2021.12.31,"7,320,536,717",제 34 기,2020.01.01 ~ 2020.12.31,"2,736,521,017",29,KRW
13,손익계산서,당기순이익(손실),제 36 기,2022.01.01 ~ 2022.12.31,"4,664,909,299",제 35 기,2021.01.01 ~ 2021.12.31,"7,320,536,717",제 34 기,2020.01.01 ~ 2020.12.31,"2,736,521,017",61,KRW
14,재무상태표,유동자산,제 36 기,2022.12.31 현재,"43,779,563,573",제 35 기,2021.12.31 현재,"41,753,947,009",제 34 기,2020.12.31 현재,"36,076,614,111",2,KRW
15,재무상태표,비유동자산,제 36 기,2022.12.31 현재,"23,066,274,147",제 35 기,2021.12.31 현재,"24,201,577,941",제 34 기,2020.12.31 현재,"19,701,513,911",4,KRW
16,재무상태표,자산총계,제 36 기,2022.12.31 현재,"66,845,837,720",제 35 기,2021.12.31 현재,"65,955,524,950",제 34 기,2020.12.31 현재,"55,778,128,022",6,KRW
17,재무상태표,유동부채,제 36 기,2022.12.31 현재,"4,285,303,043",제 35 기,2021.12.31 현재,"6,963,284,617",제 34 기,2020.12.31 현재,"4,268,057,132",8,KRW
18,재무상태표,비유동부채,제 36 기,2022.12.31 현재,"557,843,531",제 35 기,2021.12.31 현재,"2,391,653,019",제 34 기,2020.12.31 현재,"2,355,717,100",10,KRW
19,재무상태표,부채총계,제 36 기,2022.12.31 현재,"4,843,146,574",제 35 기,2021.12.31 현재,"9,354,937,636",제 34 기,2020.12.31 현재,"6,623,774,232",12,KRW
20,재무상태표,자본금,제 36 기,2022.12.31 현재,"13,403,813,500",제 35 기,2021.12.31 현재,"13,400,313,500",제 34 기,2020.12.31 현재,"13,398,163,500",15,KRW
21,재무상태표,이익잉여금,제 36 기,2022.12.31 현재,"24,230,447,013",제 35 기,2021.12.31 현재,"18,869,867,681",제 34 기,2020.12.31 현재,"11,442,738,957",19,KRW
22,재무상태표,자본총계,제 36 기,2022.12.31 현재,"62,002,691,146",제 35 기,2021.12.31 현재,"56,600,587,314",제 34 기,2020.12.31 현재,"49,154,353,790",22,KRW
23,손익계산서,매출액,제 36 기,2022.01.01 ~ 2022.12.31,"32,556,349,091",제 35 기,2021.01.01 ~ 2021.12.31,"34,234,449,449",제 34 기,2020.01.01 ~ 2020.12.31,"27,440,477,723",24,KRW
24,손익계산서,영업이익,제 36 기,2022.01.01 ~ 2022.12.31,"4,250,646,001",제 35 기,2021.01.01 ~ 2021.12.31,"5,596,330,474",제 34 기,2020.01.01 ~ 2020.12.31,"3,450,882,192",26,KRW
