,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 34 기,2022.12.31 현재,"786,408,337,496",제 33 기,2021.12.31 현재,"715,907,429,539",제 32 기,2020.12.31 현재,"604,578,854,344",2,KRW
1,재무상태표,비유동자산,제 34 기,2022.12.31 현재,"411,720,155,543",제 33 기,2021.12.31 현재,"373,866,798,061",제 32 기,2020.12.31 현재,"372,956,644,698",4,KRW
2,재무상태표,자산총계,제 34 기,2022.12.31 현재,"1,198,128,493,039",제 33 기,2021.12.31 현재,"1,089,774,227,600",제 32 기,2020.12.31 현재,"977,535,499,042",6,KRW
3,재무상태표,유동부채,제 34 기,2022.12.31 현재,"587,328,187,978",제 33 기,2021.12.31 현재,"491,119,901,317",제 32 기,2020.12.31 현재,"400,886,037,149",8,KRW
4,재무상태표,비유동부채,제 34 기,2022.12.31 현재,"160,146,081,764",제 33 기,2021.12.31 현재,"156,154,564,957",제 32 기,2020.12.31 현재,"176,104,368,335",10,KRW
5,재무상태표,부채총계,제 34 기,2022.12.31 현재,"747,474,269,742",제 33 기,2021.12.31 현재,"647,274,466,274",제 32 기,2020.12.31 현재,"576,990,405,484",12,KRW
6,재무상태표,자본금,제 34 기,2022.12.31 현재,"107,000,000,000",제 33 기,2021.12.31 현재,"107,000,000,000",제 32 기,2020.12.31 현재,"107,000,000,000",15,KRW
7,재무상태표,이익잉여금,제 34 기,2022.12.31 현재,"324,294,515,568",제 33 기,2021.12.31 현재,"315,903,355,717",제 32 기,2020.12.31 현재,"272,600,220,217",19,KRW
8,재무상태표,자본총계,제 34 기,2022.12.31 현재,"450,654,223,297",제 33 기,2021.12.31 현재,"442,499,761,326",제 32 기,2020.12.31 현재,"400,545,093,558",22,KRW
9,손익계산서,매출액,제 34 기,2022.01.01 ~ 2022.12.31,"1,893,077,679,119",제 33 기,2021.01.01 ~ 2021.12.31,"1,363,965,385,622",제 32 기,2020.01.01 ~ 2020.12.31,"1,101,612,749,583",24,KRW
10,손익계산서,영업이익,제 34 기,2022.01.01 ~ 2022.12.31,"-1,091,838,620",제 33 기,2021.01.01 ~ 2021.12.31,"31,880,777,428",제 32 기,2020.01.01 ~ 2020.12.31,"54,302,650,524",26,KRW
11,손익계산서,법인세차감전 순이익,제 34 기,2022.01.01 ~ 2022.12.31,"13,571,221,968",제 33 기,2021.01.01 ~ 2021.12.31,"57,113,856,690",제 32 기,2020.01.01 ~ 2020.12.31,"45,620,741,074",28,KRW
12,손익계산서,당기순이익,제 34 기,2022.01.01 ~ 2022.12.31,"4,438,156,398",제 33 기,2021.01.01 ~ 2021.12.31,"47,190,335,111",제 32 기,2020.01.01 ~ 2020.12.31,"37,641,374,138",30,KRW
13,손익계산서,당기순이익(손실),제 34 기,2022.01.01 ~ 2022.12.31,"4,438,156,398",제 33 기,2021.01.01 ~ 2021.12.31,"47,190,335,111",제 32 기,2020.01.01 ~ 2020.12.31,"37,641,374,138",62,KRW
