,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,재무상태표,유동자산,제 56 기,2022.12.31 현재,"271,727,927,368",제 55 기,2021.12.31 현재,"260,606,644,771",제 54 기,2020.12.31 현재,"223,690,925,991",1,KRW
1,재무상태표,비유동자산,제 56 기,2022.12.31 현재,"882,042,160,079",제 55 기,2021.12.31 현재,"855,132,486,926",제 54 기,2020.12.31 현재,"869,679,251,558",3,KRW
2,재무상태표,자산총계,제 56 기,2022.12.31 현재,"1,153,770,087,447",제 55 기,2021.12.31 현재,"1,115,739,131,697",제 54 기,2020.12.31 현재,"1,093,370,177,549",5,KRW
3,재무상태표,유동부채,제 56 기,2022.12.31 현재,"405,281,944,441",제 55 기,2021.12.31 현재,"419,398,091,649",제 54 기,2020.12.31 현재,"362,465,535,593",7,KRW
4,재무상태표,비유동부채,제 56 기,2022.12.31 현재,"230,529,747,414",제 55 기,2021.12.31 현재,"206,983,015,475",제 54 기,2020.12.31 현재,"243,764,446,490",9,KRW
5,재무상태표,부채총계,제 56 기,2022.12.31 현재,"635,811,691,855",제 55 기,2021.12.31 현재,"626,381,107,124",제 54 기,2020.12.31 현재,"606,229,982,083",11,KRW
6,재무상태표,자본금,제 56 기,2022.12.31 현재,"7,724,036,500",제 55 기,2021.12.31 현재,"7,724,036,500",제 54 기,2020.12.31 현재,"7,724,036,500",13,KRW
7,재무상태표,이익잉여금,제 56 기,2022.12.31 현재,"253,954,908,327",제 55 기,2021.12.31 현재,"242,628,103,564",제 54 기,2020.12.31 현재,"239,469,866,983",17,KRW
8,재무상태표,자본총계,제 56 기,2022.12.31 현재,"517,958,395,592",제 55 기,2021.12.31 현재,"489,358,024,573",제 54 기,2020.12.31 현재,"487,140,195,466",21,KRW
9,손익계산서,매출액,제 56 기,2022.01.01 ~ 2022.12.31,"979,071,454,561",제 55 기,2021.01.01 ~ 2021.12.31,"928,177,931,986",제 54 기,2020.01.01 ~ 2020.12.31,"923,222,519,676",23,KRW
10,손익계산서,영업이익,제 56 기,2022.01.01 ~ 2022.12.31,"38,440,307,559",제 55 기,2021.01.01 ~ 2021.12.31,"39,307,029,722",제 54 기,2020.01.01 ~ 2020.12.31,"54,315,676,779",25,KRW
11,손익계산서,법인세차감전 순이익,제 56 기,2022.01.01 ~ 2022.12.31,"39,811,042,495",제 55 기,2021.01.01 ~ 2021.12.31,"20,856,601,426",제 54 기,2020.01.01 ~ 2020.12.31,"34,810,384,427",27,KRW
12,손익계산서,당기순이익,제 56 기,2022.01.01 ~ 2022.12.31,"23,752,044,518",제 55 기,2021.01.01 ~ 2021.12.31,"11,184,510,484",제 54 기,2020.01.01 ~ 2020.12.31,"40,339,623,173",29,KRW
13,손익계산서,당기순이익(손실),제 56 기,2022.01.01 ~ 2022.12.31,"23,752,044,518",제 55 기,2021.01.01 ~ 2021.12.31,"11,184,510,484",제 54 기,2020.01.01 ~ 2020.12.31,"40,339,623,173",61,KRW
14,재무상태표,유동자산,제 56 기,2022.12.31 현재,"1,831,797,117",제 55 기,2021.12.31 현재,"1,649,873,433",제 54 기,2020.12.31 현재,"1,760,124,898",2,KRW
15,재무상태표,비유동자산,제 56 기,2022.12.31 현재,"337,337,546,746",제 55 기,2021.12.31 현재,"354,091,245,065",제 54 기,2020.12.31 현재,"354,478,847,489",4,KRW
16,재무상태표,자산총계,제 56 기,2022.12.31 현재,"339,169,343,863",제 55 기,2021.12.31 현재,"355,741,118,498",제 54 기,2020.12.31 현재,"356,238,972,387",6,KRW
17,재무상태표,유동부채,제 56 기,2022.12.31 현재,"45,367,559,333",제 55 기,2021.12.31 현재,"47,532,297,133",제 54 기,2020.12.31 현재,"49,789,252,132",8,KRW
18,재무상태표,비유동부채,제 56 기,2022.12.31 현재,"10,735,597,902",제 55 기,2021.12.31 현재,"9,234,300,686",제 54 기,2020.12.31 현재,"9,693,461,968",10,KRW
19,재무상태표,부채총계,제 56 기,2022.12.31 현재,"56,103,157,235",제 55 기,2021.12.31 현재,"56,766,597,819",제 54 기,2020.12.31 현재,"59,482,714,100",12,KRW
20,재무상태표,자본금,제 56 기,2022.12.31 현재,"7,724,036,500",제 55 기,2021.12.31 현재,"7,724,036,500",제 54 기,2020.12.31 현재,"7,724,036,500",15,KRW
21,재무상태표,이익잉여금,제 56 기,2022.12.31 현재,"176,628,745,769",제 55 기,2021.12.31 현재,"192,674,085,354",제 54 기,2020.12.31 현재,"190,602,346,235",19,KRW
22,재무상태표,자본총계,제 56 기,2022.12.31 현재,"283,066,186,628",제 55 기,2021.12.31 현재,"298,974,520,679",제 54 기,2020.12.31 현재,"296,756,258,287",22,KRW
23,손익계산서,매출액,제 56 기,2022.01.01 ~ 2022.12.31,"17,614,959,796",제 55 기,2021.01.01 ~ 2021.12.31,"16,719,174,508",제 54 기,2020.01.01 ~ 2020.12.31,"16,803,565,862",24,KRW
24,손익계산서,영업이익,제 56 기,2022.01.01 ~ 2022.12.31,"4,650,682,373",제 55 기,2021.01.01 ~ 2021.12.31,"4,704,128,355",제 54 기,2020.01.01 ~ 2020.12.31,"4,853,751,364",26,KRW
25,손익계산서,법인세차감전 순이익,제 56 기,2022.01.01 ~ 2022.12.31,"-15,673,287,575",제 55 기,2021.01.01 ~ 2021.12.31,"3,350,066,705",제 54 기,2020.01.01 ~ 2020.12.31,"26,292,410,613",28,KRW
26,손익계산서,당기순이익,제 56 기,2022.01.01 ~ 2022.12.31,"-15,004,085,624",제 55 기,2021.01.01 ~ 2021.12.31,"3,468,472,478",제 54 기,2020.01.01 ~ 2020.12.31,"26,198,667,903",30,KRW
27,손익계산서,당기순이익(손실),제 56 기,2022.01.01 ~ 2022.12.31,"-15,004,085,624",제 55 기,2021.01.01 ~ 2021.12.31,"3,468,472,478",제 54 기,2020.01.01 ~ 2020.12.31,"26,198,667,903",62,KRW
