,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20230321001293,Y,00353878,다스코,남,건축자재사업부문,-,-,-,73,-,-,-,73,5년 8개월,"3,432,084,000","47,014,000",-
1,20230321001293,Y,00353878,다스코,여,경영지원,-,-,-,5,-,-,-,5,9년 10개월,"226,233,000","45,246,000",-
2,20230321001293,Y,00353878,다스코,여,건축자재사업부문,-,-,-,7,-,-,-,7,5년 7개월,"299,924,000","42,846,000",-
3,20230321001293,Y,00353878,다스코,남,에너지사업부문,-,-,-,43,-,1,-,44,3년 7개월,"2,045,940,000","46,498,000",-
4,20230321001293,Y,00353878,다스코,여,에너지사업부문,-,-,-,5,-,-,-,5,3년 9개월,"178,770,000","35,754,000",-
5,20230321001293,Y,00353878,다스코,남,SOC사업부문,-,-,-,42,-,2,-,44,4년 2개월,"2,617,773,000","59,494,000",-
6,20230321001293,Y,00353878,다스코,여,SOC사업부문,-,-,-,3,-,-,-,3,15년 10개월,"144,160,000","48,053,000",-
7,20230321001293,Y,00353878,다스코,남,철강재사업부문,-,-,-,16,-,2,-,18,2년 4개월,"489,849,000","27,213,000",-
8,20230321001293,Y,00353878,다스코,여,철강재사업부문,-,-,-,3,-,-,-,3,1년 6개월,"106,660,000","35,553,000",-
9,20230321001293,Y,00353878,다스코,남,경영지원,-,-,-,31,-,3,-,34,3년 7개월,"1,526,310,000","44,891,000",-
