,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20230316001349,Y,00150244,하이트진로,남,맥주제조/판매,-,-,-,"1,342",-,86,-,"1,428",16년 11개월,"168,372,741,381","115,134,461",-
1,20230316001349,Y,00150244,하이트진로,여,맥주제조/판매,-,-,-,145,-,8,-,153,16년 6개월,"13,802,917,710","88,497,835",-
2,20230316001349,Y,00150244,하이트진로,남,소주제조/판매,-,-,-,"1,061",-,27,-,"1,088",17년 6개월,"125,378,826,361","113,608,796",-
3,20230316001349,Y,00150244,하이트진로,여,소주제조/판매,-,-,-,392,-,16,-,408,12년 5개월,"34,823,600,342","88,778,224",-
